municipality,KEY_population_25_and_older,edu_high_school_and_higher_%,edu_bachelors_and_higher_%,KEY_pop_16_+,unemployment_rate_%,median_household_income,mean_household_income,families_below_poverty_level_%,people_below_poverty_level_%,KEY_total_housing_units,occupancy_%,1-unit_detached_%,1-unit_attached_%,2-units_%,3-4_units_%,5-9_units_%,10-19_units_%,20+_units_%,mobile_home_%,boat_RV_van_%,owner-occupied_%,renter-occupied_%,KEY_total_population,males-to-100females,median_age,demo_white_%,demo_black_aa_%,demo_american_indian_%,demo_asian_%,demo_native_islander%,demo_other_Race_%,demo_hispanic_latino_%
Sharon,3833,98.4,72.9,4443,4.5,144333,173768,0.0,2.0,2195,94.4,85.2,2.4,5.7,2.6,0.9,0.8,2.4,0.0,0.0,88.9,11.1,5914,98.1,40.7,88.2,1.4,0.5,10.3,0.0,1.5,2.8
Southbridge,11439,82.6,17.2,13614,8.8,51270,64448,16.7,20.7,7368,92.5,37.7,2.6,16.1,21.7,11.4,5.8,4.3,0.5,0.0,44.2,55.8,16887,95.5,39.3,86.2,5.3,1.6,0.5,0.1,10.9,32.9
Sandwich,2283,97.0,55.4,2757,4.4,93333,121219,0.7,7.2,1961,66.4,83.3,4.3,2.8,0.9,1.1,1.1,6.6,0.0,0.0,81.6,18.4,3002,89.0,51.7,98.3,0.0,0.0,1.7,0.0,0.0,6.9
Shirley,1583,98.3,15.6,1755,1.5,65507,75261,3.5,5.7,988,95.2,49.0,0.0,8.9,17.3,13.1,11.7,0.0,0.0,0.0,50.3,49.7,1861,109.8,58.1,97.0,2.1,1.3,4.7,0.0,0.0,0.0
Franklin,21806,97.3,55.7,26502,4.1,122607,148748,2.5,4.0,12192,97.9,66.6,9.8,4.8,4.3,2.9,4.0,7.6,0.0,0.0,80.7,19.3,33256,92.9,41.1,92.9,2.5,0.2,6.6,0.0,0.3,1.6
East Brookfield,724,87.8,30.1,865,2.4,74821,80801,1.6,6.1,559,76.6,88.4,0.0,8.2,0.0,0.9,0.0,0.0,2.5,0.0,86.7,13.3,1037,115.6,35.5,97.3,0.0,0.9,0.0,0.0,1.8,3.3
Groton,812,87.9,45.3,1058,9.2,65303,139255,4.0,9.7,516,100.0,50.2,2.5,13.8,7.6,8.3,1.4,16.3,0.0,0.0,55.2,44.8,1345,111.1,41.3,90.9,1.9,9.2,8.4,0.0,0.0,2.1
Cheshire,367,94.0,37.6,488,4.1,79107,86974,0.0,0.0,299,72.2,57.9,0.0,7.4,4.0,0.0,0.0,0.0,30.8,0.0,76.4,23.6,539,100.4,51.8,100.0,0.0,1.5,0.0,0.0,0.0,0.0
Russell,386,97.2,20.7,446,7.0,49073,58851,11.1,8.9,256,96.5,66.8,0.0,7.4,6.3,5.5,0.0,0.0,14.1,0.0,85.0,15.0,526,76.5,45.3,95.8,8.2,1.0,0.0,0.0,0.0,10.8
Chatham,1297,97.5,65.8,1375,5.2,81630,124508,3.5,8.2,2159,38.9,82.8,3.6,3.2,4.1,2.2,3.1,1.0,0.0,0.0,78.8,21.2,1428,83.5,67.4,100.0,0.0,1.0,0.0,0.0,0.0,0.0
Northfield,819,94.9,45.3,902,2.1,82000,96968,2.8,5.9,570,83.9,70.2,0.0,10.2,8.9,1.8,1.8,7.2,0.0,0.0,75.5,24.5,1032,84.0,51.6,100.0,0.0,0.0,0.0,0.0,0.0,0.0
Sturbridge,1589,99.8,47.8,1778,0.0,102059,119174,3.2,5.0,919,95.5,72.0,0.0,6.6,5.4,0.0,10.2,1.2,4.5,0.0,83.9,16.1,2243,85.4,45.0,94.1,2.6,0.0,4.1,0.0,0.0,1.8
Edgartown,496,98.6,44.2,508,0.0,58750,82355,0.0,0.0,806,28.0,91.4,0.0,8.6,0.0,0.0,0.0,0.0,0.0,0.0,68.6,31.4,508,59.2,61.0,96.1,3.7,0.0,0.0,0.0,0.2,0.6
Gardner,15014,89.0,18.3,16978,3.9,49679,68349,9.0,13.9,9125,90.2,47.4,3.2,10.7,13.2,5.5,5.6,12.6,1.7,0.1,52.0,48.0,20610,106.6,41.0,90.9,5.4,1.2,3.7,0.0,3.1,9.3
Chicopee,38925,86.1,20.0,45709,5.9,53225,66591,10.9,13.8,24797,93.1,47.9,5.5,13.3,12.7,8.0,3.2,6.7,2.7,0.0,58.6,41.4,55421,93.7,39.7,87.7,6.0,0.4,2.8,0.1,5.2,21.0
Topsfield,2131,96.3,68.0,2407,6.0,135444,145419,6.6,7.8,1088,97.2,75.9,8.3,1.5,9.6,3.1,0.0,1.7,0.0,0.0,81.1,18.9,3216,99.9,43.2,99.8,0.0,0.5,1.2,0.0,0.0,2.5
Haverhill,43435,90.8,29.8,50420,5.2,69426,86187,10.0,12.5,25641,94.6,40.2,12.5,12.8,12.1,6.9,5.5,9.7,0.2,0.0,57.1,42.9,63533,93.4,36.8,83.7,6.3,0.7,2.2,0.4,11.2,23.2
Medfield,4610,97.9,69.8,5225,2.0,127048,161849,3.3,4.0,2585,97.7,71.7,5.3,3.2,2.8,5.1,6.9,5.0,0.0,0.0,78.7,21.3,6966,96.9,43.5,93.0,1.7,0.5,6.1,0.0,0.0,1.2
Needham,20559,97.8,76.0,23711,4.0,165547,223894,1.4,2.7,11309,95.5,76.4,5.4,3.8,1.6,2.2,1.6,8.9,0.0,0.0,83.9,16.1,30970,92.2,43.5,87.4,3.4,0.3,10.6,0.0,0.7,3.2
Somerset,13739,90.9,27.5,15210,3.3,84115,101068,2.2,3.9,7332,94.9,82.2,1.4,7.7,4.9,0.6,0.9,2.3,0.0,0.0,80.0,20.0,18165,98.2,47.1,98.8,0.5,0.1,0.4,0.0,0.8,0.9
Plymouth,5414,92.5,32.3,6033,3.6,64242,97431,2.0,6.5,3820,86.6,40.8,6.9,15.7,11.2,5.1,12.1,8.2,0.0,0.0,51.7,48.3,7081,81.6,44.3,94.2,3.5,1.2,1.6,0.0,3.1,2.1
Spencer,4365,87.5,9.6,5070,6.8,59331,69358,5.3,12.2,2871,86.4,37.4,0.7,20.5,23.1,13.1,0.6,3.8,0.8,0.0,49.3,50.7,5792,116.5,44.8,91.8,3.3,1.4,6.4,0.0,0.0,3.7
Dover,1617,99.4,80.8,1887,1.6,216250,355097,0.0,0.5,853,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.8,5.2,2539,107.4,43.9,89.5,0.0,0.0,14.1,0.0,0.0,0.4
Cambridge,79240,95.5,79.0,103953,4.0,103154,139991,7.3,12.7,51882,90.3,8.7,5.8,12.6,17.2,10.6,7.5,37.6,0.1,0.0,34.8,65.2,116632,99.4,30.5,70.0,12.2,0.8,19.1,0.2,2.4,9.5
Lunenburg,1307,95.3,37.3,1507,2.6,113750,122202,1.5,2.9,741,92.3,90.1,2.4,1.3,6.1,0.0,0.0,0.0,0.0,0.0,95.6,4.4,1778,81.2,44.4,99.5,0.1,0.0,4.9,0.0,0.0,0.2
Provincetown,2500,95.2,55.4,2585,7.1,58313,99872,3.9,10.3,4417,35.5,40.1,8.2,13.9,25.7,6.8,1.5,3.3,0.6,0.0,78.7,21.3,2730,133.1,57.0,94.7,4.0,0.8,3.5,0.3,1.6,4.5
Framingham,51702,90.3,47.6,59667,5.0,82709,106832,5.7,8.4,29449,95.8,50.3,6.1,6.9,6.5,3.6,6.4,19.8,0.2,0.1,53.9,46.1,72308,96.6,38.9,71.6,8.6,0.9,8.5,0.4,12.7,16.1
Lowell,72095,81.9,24.1,90068,5.8,56878,72670,13.7,19.0,41786,94.3,31.7,5.6,15.9,12.3,9.5,8.7,16.1,0.1,0.1,42.3,57.7,111306,99.9,33.5,63.2,9.4,1.1,23.7,0.3,5.1,18.1
Greenfield,13178,91.4,34.7,14709,5.1,50478,68274,6.7,11.4,8521,94.6,49.0,4.6,12.5,13.6,9.4,3.0,6.9,0.9,0.0,56.3,43.7,17375,98.9,43.7,92.5,3.5,0.4,2.4,0.1,3.6,7.7
Devens,1624,96.5,30.9,1755,1.8,92426,118557,4.1,21.3,239,100.0,34.3,18.4,8.8,35.6,2.9,0.0,0.0,0.0,0.0,76.6,23.4,1969,443.9,43.1,64.4,20.4,2.5,12.0,0.6,5.6,14.0
Pepperell,2014,94.7,28.8,2354,5.4,81675,94974,9.8,14.6,1192,91.2,50.0,10.1,7.1,12.7,5.6,4.1,9.7,0.7,0.0,58.0,42.0,2826,90.2,40.2,96.4,5.5,0.8,1.8,0.0,0.5,3.7
Watertown,27845,95.0,65.9,30404,3.5,101103,124756,4.9,7.6,16570,94.3,23.5,9.0,32.6,10.1,3.1,3.0,18.6,0.0,0.0,51.8,48.2,35401,87.5,38.2,85.1,2.5,0.4,11.3,0.3,3.4,9.2
Beverly,28683,95.2,50.6,34999,3.4,80586,112540,6.0,9.3,17216,95.5,49.7,3.1,8.5,13.0,6.9,5.9,12.6,0.0,0.3,60.5,39.5,41885,87.1,40.4,94.5,3.7,0.4,2.8,0.3,1.1,5.1
Saugus,21100,91.8,28.8,23897,5.0,88667,103270,7.1,9.8,11118,93.8,67.1,5.9,10.1,2.1,2.0,2.7,6.9,3.2,0.0,80.6,19.4,28215,96.0,47.1,92.4,2.5,0.4,4.9,0.0,1.5,8.6
Somerville,59890,90.6,64.4,72357,3.3,97328,117141,8.2,11.5,34633,94.7,10.3,4.1,28.9,27.1,9.2,5.1,15.4,0.0,0.1,33.6,66.4,80906,98.3,31.3,79.7,8.6,0.8,11.6,0.1,3.8,12.4
Ipswich,3424,95.3,47.1,3851,6.8,65893,89351,5.6,9.6,2225,94.9,37.8,10.7,14.0,22.4,10.9,2.6,0.4,1.2,0.0,57.1,42.9,4699,84.6,44.4,93.3,4.2,0.3,3.4,0.0,0.9,3.6
Stoneham,17675,95.4,46.3,19556,3.1,101549,120525,2.6,5.0,9921,97.4,55.6,1.5,6.7,7.0,3.0,6.6,19.5,0.1,0.0,65.4,34.6,23223,100.3,43.8,91.2,3.5,0.3,5.0,0.1,1.1,3.3
New Bedford,63772,76.4,17.0,76157,6.4,46321,61328,15.8,20.3,42593,91.3,30.8,1.8,17.6,28.8,10.8,2.9,7.1,0.1,0.1,40.2,59.8,95239,93.1,36.6,67.1,10.2,0.8,2.0,0.2,25.8,20.8
Swampscott,10709,97.4,57.3,12108,3.3,113407,144767,1.8,3.1,6073,95.2,58.7,5.4,11.7,9.6,2.5,0.2,11.1,1.0,0.0,77.1,22.9,15002,84.8,44.8,95.7,2.9,0.2,2.6,0.0,0.8,2.5
Hudson,11285,89.9,40.4,12905,3.2,82431,100724,5.6,5.7,6434,96.6,49.3,5.6,10.8,10.6,6.2,6.9,7.4,3.2,0.0,68.9,31.1,15346,95.2,43.9,94.4,1.3,0.3,3.0,0.0,1.4,7.0
Milton,17820,94.7,61.0,21486,3.6,133718,172407,3.5,4.7,9316,95.3,73.5,3.6,10.9,2.2,0.8,1.7,7.2,0.0,0.0,84.3,15.7,27572,88.7,39.5,75.7,17.2,1.0,7.9,0.5,1.7,3.2
Lexington,22787,98.4,84.7,25723,3.6,186201,231819,2.0,3.2,12154,97.2,76.6,6.5,2.5,2.4,1.7,3.7,6.6,0.0,0.0,81.7,18.3,33340,93.9,45.7,67.1,2.6,0.5,32.6,0.2,1.1,2.1
Fitchburg,26208,85.1,21.0,32434,8.3,57207,70654,11.3,15.7,16575,90.3,42.4,6.1,13.9,17.9,6.0,2.7,10.1,0.8,0.0,53.5,46.5,40702,99.7,35.5,84.4,7.4,1.4,2.9,0.4,8.6,28.8
Belchertown,2017,93.2,40.5,2328,4.4,78578,96836,3.7,9.3,1224,92.9,59.9,7.0,6.8,8.5,6.6,11.2,0.0,0.0,0.0,68.4,31.6,2874,99.0,42.0,92.9,1.5,0.0,9.2,0.0,0.0,5.2
Adams,4130,89.3,22.9,4560,5.3,48252,62772,13.2,14.4,3086,85.2,45.7,2.4,18.0,12.2,9.6,3.3,8.6,0.3,0.0,54.0,46.0,5335,109.5,43.5,97.7,2.3,0.0,0.9,0.0,0.8,1.6
