Municipality Name,tot_households,stream_type,tons_ss_recyclables,tons_ms_recyclables,tons_recyclables_total,hh_served_by_mu_recycle,tons_recyclables/hh,hh_served_by_mu_trash,tons_trash_total,tons_trash/hh,%recycle/hh,total_waste/hh
Abington,6558.0,ss,1413.42,0.0,1413.42,4486.0,0.31507356219349086,4486.0,3826.66,0.8530227374052608,0.2697325231675852,1.1680962995987516
Acton,9800.0,ms,0.0,1090.31,1090.31,4335.0,0.25151326412918107,3846.0,2148.67,0.5586765470618825,0.3104374563282033,0.8101898111910636
Acushnet,4304.0,ss+,879.5,68.03999999999999,947.5400000000001,3591.0,0.26386521860206075,3591.0,3446.38,0.9597270955165692,0.21564798630835338,1.22359231411863
Adams,3867.0,ms,0.0,139.60999999999999,139.60999999999999,664.0,0.21025602409638552,664.0,134.47,0.20251506024096386,0.5093768242848803,0.4127710843373494
Agawam,12031.0,ss,2238.0,0.0,2238.0,8879.0,0.2520554116454556,8879.0,6717.17,0.75652325712355,0.24991150363421355,1.0085786687690055
Amesbury,5828.0,ss,1807.02,0.0,1807.02,5767.0,0.31333795734350617,5767.0,4631.86,0.80316629096584,0.2806419750018637,1.1165042483093461
Amherst,9477.0,ms,0.0,475.0,475.0,1851.0,0.25661804430037816,1851.0,1424.49,0.7695786061588331,0.2500671232804595,1.0261966504592113
Andover,10886.0,ss,2984.42,0.0,2984.42,8992.0,0.33189724199288256,8992.0,9899.95,1.100973087188612,0.23163103822693698,1.4328703291814946
Aquinnah,406.0,ss,72.0,0.0,72.0,230.0,0.3130434782608696,230.0,94.0,0.40869565217391307,0.43373493975903615,0.7217391304347827
Arlington,20311.0,ss,4964.0,0.0,4964.0,20311.0,0.244399586430998,20311.0,12090.0,0.595243956476786,0.29107540752902544,0.839643542907784
Ashby,1144.0,ms,0.0,48.709999999999994,48.709999999999994,230.0,0.21178260869565216,230.0,88.78,0.386,0.3542803112953669,0.5977826086956521
Ashfield,716.0,ms,0.0,174.32,174.32,424.0,0.4111320754716981,424.0,348.43,0.8217688679245283,0.3334672405547585,1.2329009433962264
Ashland,6311.0,ss,1781.41,0.0,1781.41,5941.0,0.29985019357010606,5941.0,2893.57,0.4870510015148965,0.3810518975482248,0.7869011950850026
Athol,4670.0,ms,0.0,344.7,344.7,1094.0,0.31508226691042046,1094.0,547.75,0.5006855575868373,0.38624012549722675,0.8157678244972577
Attleboro,17750.0,ss,4135.0,0.0,4135.0,14213.0,0.2909308379652431,14213.0,10186.0,0.7166678393020475,0.2887368200544655,1.0075986772672905
Auburn,7581.0,ss,1399.45,0.0,1399.45,5134.0,0.2725847292559408,5134.0,4517.0,0.8798208024931827,0.23653542242391976,1.1524055317491235
Avon,1445.0,ss,532.49,0.0,532.49,1445.0,0.3685051903114187,1445.0,1846.47,1.2778339100346021,0.22383310354104316,1.6463391003460208
Ayer,3251.0,ss+,260.16,66.0,326.16,1188.0,0.2745454545454546,1188.0,772.02,0.6498484848484848,0.2970004917226685,0.9243939393939393
Barnstable,25517.0,ms,0.0,2108.8,2108.8,11800.0,0.17871186440677966,8600.0,8674.74,1.0086906976744185,0.15050655111737818,1.187402562081198
Barre,2290.0,ms,0.0,152.9,152.9,880.0,0.17375000000000002,880.0,674.43,0.7663977272727273,0.18481138119009347,0.9401477272727272
Becket,1779.0,ms,0.0,105.25,105.25,1779.0,0.059162450815064646,1779.0,521.59,0.2931928049465992,0.1679056856614128,0.3523552557616639
Bedford,5120.0,ss,1368.0,0.0,1368.0,4508.0,0.3034605146406389,4508.0,3927.9,0.8713176574977818,0.2583130346116807,1.1747781721384207
Belchertown,7443.0,ms,0.0,497.25,497.25,1818.0,0.27351485148514854,1818.0,1362.0,0.7491749174917491,0.2674465510286406,1.0226897689768977
Belmont,9810.0,ss+,2663.4,25.0,2688.4,9810.0,0.2740468909276249,9810.0,6203.0,0.6323139653414883,0.30235958341768454,0.9063608562691132
Berkley,2835.0,ms,0.0,285.65,285.65,1067.0,0.2677132146204311,1067.0,653.77,0.6127179006560449,0.3040705967511869,0.880431115276476
Berlin,1256.0,ms,0.0,194.0,194.0,860.0,0.2255813953488372,860.0,673.0,0.7825581395348837,0.22376009227220298,1.008139534883721
Bernardston,799.0,ms,0.0,152.88,152.88,650.0,0.2352,650.0,390.52,0.6008,0.2813397129186603,0.836
Beverly,14000.0,ms,0.0,3581.8999999999996,3581.8999999999996,12625.0,0.28371485148514847,12625.0,11668.1,0.9242059405940595,0.23487868852459012,1.2079207920792079
Billerica,15207.0,ss,4081.0,0.0,4081.0,13567.0,0.3008034200633891,13567.0,12617.0,0.9299771504385642,0.24440052700922263,1.2307805705019534
Blandford,598.0,ms,0.0,65.06,65.06,300.0,0.21686666666666668,300.0,37.49,0.12496666666666667,0.6344222330570454,0.3418333333333333
Bolton,2130.0,ss+,6.51,286.01,292.52,2130.0,0.13733333333333334,2130.0,683.64,0.3209577464788732,0.29966398950991646,0.4582910798122065
Boston,310800.0,ss,37050.0,0.0,37050.0,260000.0,0.1425,260000.0,188113.0,0.7235115384615385,0.16454746117257274,0.8660115384615384
Bourne,8135.0,ss+,5646.89,412.0,6058.89,8135.0,0.7447928703134604,8135.0,7823.27,0.961680393362016,0.4364515320382419,1.7064732636754765
Boxborough,2015.0,ss,308.02,0.0,308.02,969.0,0.3178740970072239,969.0,710.52,0.733250773993808,0.30241325819309994,1.051124871001032
Boxford,2753.0,ss,990.0,0.0,990.0,2753.0,0.3596077006901562,2591.0,1818.0,0.7016595908915476,0.3388474360254709,1.0612672915817039
Braintree,12300.0,ss,3215.34,0.0,3215.34,10373.0,0.309972042803432,10619.0,11442.61,1.0775600339014975,0.2233981094977959,1.3875320767049295
Brewster,7300.0,ms,0.0,847.44,847.44,3509.0,0.24150470219435738,3509.0,1646.19,0.4691336563123397,0.3398419172050384,0.7106383585066971
Brockton,28200.0,ss+,7127.0,207.0,7334.0,26422.0,0.27757172053591705,26422.0,25037.0,0.9475815608205284,0.2265608106020821,1.2251532813564454
Brookfield,946.0,ss,127.54,0.0,127.54,580.0,0.21989655172413794,580.0,496.06,0.8552758620689656,0.20452212957023733,1.0751724137931036
Brookline,26448.0,ss,4681.0,0.0,4681.0,13310.0,0.35169045830202855,13310.0,8353.0,0.6275732531930879,0.3591376400184134,0.9792637114951164
Buckland,683.0,ms,0.0,114.34,114.34,620.0,0.1844193548387097,620.0,223.15,0.3599193548387097,0.3387952235621796,0.5443387096774194
Burlington,7041.0,ss,2188.9,0.0,2188.9,7023.0,0.31167592197066785,7023.0,5513.18,0.7850177986615406,0.28419595745564835,1.0966937206322085
Cambridge,50000.0,ss+,8525.0,51.57,8576.57,44700.0,0.19186957494407159,32500.0,12938.0,0.3980923076923077,0.3252236807006219,0.5899618826363793
Canton,7459.0,ss,1882.0,0.0,1882.0,7459.0,0.252312642445368,7459.0,6666.77,0.8937887116235421,0.22014862956893214,1.14610135406891
Carlisle,1600.0,ms,0.0,574.0699999999999,574.0699999999999,1600.0,0.35879374999999997,1600.0,1803.48,1.127175,0.2414544383924628,1.48596875
Charlemont,471.0,ms,0.0,71.91,71.91,440.0,0.16343181818181818,440.0,155.93,0.35438636363636367,0.31561622191011235,0.5178181818181818
Chatham,3160.0,ss+,287.97,798.61,1086.58,3160.0,0.34385443037974683,3160.0,5139.54,1.6264367088607594,0.1745196045048923,1.9702911392405063
Chelmsford,13693.0,ss,3104.69,0.0,3104.69,12259.0,0.2532580145199445,12259.0,10489.03,0.85561872909699,0.22839149254214444,1.1088767436169344
Cheshire,1358.0,ms,0.0,99.52000000000001,99.52000000000001,835.0,0.11918562874251498,835.0,591.19,0.7080119760479042,0.14408362409694372,0.8271976047904193
Chester,620.0,ms,0.0,65.15,65.15,218.0,0.29885321100917434,218.0,205.87,0.9443577981651377,0.24038816323518558,1.243211009174312
Chesterfield,551.0,ms,0.0,49.36,49.36,211.0,0.23393364928909952,211.0,146.72,0.6953554502369668,0.251733986128111,0.9292890995260663
Chicopee,24323.0,ss,4401.91,0.0,4401.91,18869.0,0.23328793258784247,18869.0,10523.0,0.5576872118289258,0.2949371218988925,0.7909751444167683
Chilmark,1317.0,ss,55.0,0.0,55.0,450.0,0.12222222222222222,450.0,123.0,0.2733333333333333,0.3089887640449438,0.39555555555555555
Clinton,4853.0,ss+,947.85,48.95,996.8000000000001,4346.0,0.22936033133916248,4346.0,2182.6499999999996,0.5022204325816843,0.31351334350280713,0.7315807639208467
Cohasset,3433.0,ms,0.0,542.0,542.0,2460.0,0.22032520325203253,2460.0,1488.0,0.6048780487804878,0.26699507389162563,0.8252032520325203
Colrain,673.0,ms,0.0,100.89,100.89,645.0,0.15641860465116278,645.0,261.07,0.4047596899224806,0.2787324566250414,0.5611782945736434
Concord,5500.0,ms,0.0,2884.12,2884.12,3800.0,0.758978947368421,3704.0,2688.57,0.7258558315334773,0.5111538052265451,1.4848347789018983
Conway,668.0,ms,0.0,185.45999999999998,185.45999999999998,648.0,0.2862037037037037,648.0,519.37,0.8014969135802469,0.2631272789183207,1.0877006172839505
Cummington,425.0,ss,58.91,0.0,58.91,273.0,0.21578754578754578,273.0,175.02,0.6410989010989011,0.25182746975590986,0.8568864468864469
Dalton,2290.0,ms,0.0,240.18,240.18,740.0,0.32456756756756755,740.0,813.6,1.0994594594594596,0.22792233673062687,1.424027027027027
Danvers,15628.0,ms,0.0,2267.55,2267.55,7747.0,0.2927004001548987,7747.0,6289.96,0.811922034335872,0.2649777797513529,1.1046224344907707
Dartmouth,11420.0,ms,0.0,2626.56,2626.56,10084.0,0.2604680682268941,10084.0,5266.610000000001,0.5222738992463308,0.332763642490913,0.782741967473225
Dedham,7884.0,ss,2606.85,0.0,2606.85,7856.0,0.33182917515274946,7856.0,6241.26,0.7944577393075357,0.29462224136001924,1.1262869144602852
Deerfield,1749.0,ms,0.0,281.71999999999997,281.71999999999997,1317.0,0.21391040242976458,1317.0,621.44,0.47186028853454826,0.3119270118251472,0.6857706909643129
Dennis,14217.0,ms,0.0,921.0,921.0,7031.0,0.13099132413596928,7031.0,3769.0,0.5360546152752098,0.19637526652452025,0.6670459394111791
Devens,145.0,ms,0.0,87.2,87.2,145.0,0.6013793103448276,,,,,
Dighton,2862.0,ss+,658.6,5.0,663.6,2762.0,0.24026068066618395,2762.0,1869.27,0.6767813178855902,0.2619952859799358,0.9170419985517742
Douglas,3175.0,ms,0.0,188.0,188.0,1288.0,0.14596273291925466,1288.0,1197.0,0.9293478260869565,0.13574007220216608,1.075310559006211
Dover,2144.0,ms,0.0,449.0,449.0,1502.0,0.2989347536617843,1502.0,1216.0,0.8095872170439414,0.26966966966966965,1.1085219707057257
Dracut,12194.0,ss,2832.0,0.0,2832.0,10660.0,0.26566604127579735,10600.0,9846.0,0.9288679245283019,0.2224014125014558,1.1945339658040992
Dudley,4254.0,ss,216.0,0.0,216.0,873.0,0.24742268041237114,873.0,653.0,0.7479954180985109,0.24856156501726123,0.995418098510882
