,voters,democrat,dem%,republican,rep%,green-rainbow,green%,libertarian,liber%,unenrolled,un%
MONROE.........................................................,81,6,7,6,7,0,0,0,0,69,85
SAVOY.............................................................,494,74,15,27,5,2,0,3,1,381,77
NEW BRAINTREE...........................................,751,112,15,88,12,1,0,4,1,544,72
FLORIDA.........................................................,516,86,17,54,10,0,0,0,0,371,72
NEW ASHFORD..............................................,194,36,19,15,8,0,0,1,1,139,72
OAKHAM....................................................,"1,312",191,15,175,13,0,0,3,0,937,71
ASHBY.............................................................,"2,368",314,13,356,15,4,0,8,0,"1,680",71
ROYALSTON.................................................,911,145,16,105,12,0,0,5,1,645,71
PHILLIPSTON..........................................,"1,205",169,14,169,14,2,0,6,0,849,70
GOSNOLD.......................................................,125,18,14,18,14,0,0,0,0,88,70
WARWICK.......................................................,603,129,21,44,7,1,0,2,0,422,70
CLARKSBURG................................................,"1,146",251,22,84,7,1,0,3,0,800,70
BERNARDSTON.............................................,"1,589",316,20,150,9,1,0,5,0,"1,101",69
HUBBARDSTON.............................................,"3,299",490,15,492,15,4,0,12,0,"2,275",69
SUTTON......................................................,"7,089","1,092",15,"1,055",15,5,0,24,0,"4,883",69
PLYMPTON.....................................................,"2,244",371,17,298,13,3,0,6,0,"1,543",69
MILLVILLE.......................................................,"2,152",356,17,277,13,6,0,8,0,"1,477",69
ERVING...........................................................,"1,126",233,21,99,9,1,0,7,1,772,69
HAWLEY..........................................................,254,54,21,25,10,0,0,0,0,174,69
ROWE.............................................................,279,57,20,30,11,0,0,1,0,191,68
TEMPLETON..................,"5,214",861,17,718,14,0,0,18,0,"3,565",68
ATHOL.............................................................,"6,833","1,180",17,852,12,8,0,36,1,"4,655",68
MONTGOMERY...............................................,600,82,14,96,16,2,0,2,0,407,68
WESTHAMPTON............................................,"1,274",280,22,111,9,7,1,4,0,864,68
BOYLSTON.....................................................,"3,589",627,17,478,13,2,0,23,1,"2,427",68
WINDSOR.......................................................,667,144,22,69,10,1,0,2,0,450,67
WALES............................................................,"1,243",202,16,174,14,5,0,7,1,837,67
ORANGE.........................................................,"4,843",905,19,556,11,2,0,28,1,"3,261",67
TOWNSEND....................................................,"6,481",960,15,"1,063",16,7,0,31,0,"4,363",67
BERLIN............................................................,"2,313",446,19,279,12,6,0,13,1,"1,552",67
MIDDLEBOROUGH.........................................,"16,715","2,932",18,"2,334",14,8,0,97,1,"11,176",67
HOPEDALE.....................................................,"4,037",780,19,503,12,2,0,18,0,"2,699",67
BROOKFIELD..................................................,"2,329",416,18,333,14,1,0,15,1,"1,556",67
HOLLAND........................................................,"1,831",280,15,292,16,3,0,13,1,"1,218",67
SEEKONK.......................................................,"10,398","2,117",20,"1,203",12,7,0,43,0,"6,915",67
CARVER..........................................................,"7,997","1,443",18,"1,105",14,8,0,46,1,"5,318",66
LAKEVILLE......................................................,"8,166","1,265",15,"1,326",16,4,0,50,1,"5,429",66
WEST BOYLSTON..........................................,"5,398","1,072",20,675,13,3,0,23,0,"3,581",66
MERRIMAC.....................................................,"4,958",953,19,655,13,2,0,20,0,"3,284",66
ROWLEY..........................................................,"4,792",815,17,748,16,1,0,14,0,"3,173",66
NORTH BROOKFIELD....................................,"3,394",598,18,492,14,2,0,13,0,"2,247",66
CHARLEMONT................................................,925,208,22,89,10,2,0,4,0,612,66
REHOBOTH....................................................,"9,139","1,402",15,"1,541",17,9,0,50,1,"6,039",66
HARDWICK.....................................................,"1,765",333,19,233,13,4,0,14,1,"1,163",66
BRIMFIELD......................................................,"2,682",414,15,456,17,6,0,16,1,"1,767",66
HALIFAX..........................................................,"5,688","1,052",18,786,14,6,0,30,1,"3,741",66
WARREN.........................................................,"3,250",633,19,453,14,4,0,18,1,"2,136",66
TYNGSBOROUGH..........................................,"8,796","1,771",20,"1,121",13,7,0,33,0,"5,777",66
WESTFORD....................................................,"16,776","3,521",21,"2,061",12,9,0,46,0,"11,008",66
CHARLTON.....................................................,"9,687","1,607",17,"1,596",16,10,0,38,0,"6,350",66
LANCASTER...................................................,"5,087",882,17,766,15,5,0,19,0,"3,334",66
HANCOCK.......................................................,487,96,20,68,14,1,0,2,0,319,66
WESTMINSTER..............................................,"5,759","1,001",17,883,15,8,0,25,0,"3,770",65
UPTON...........................................................,"5,570",993,18,853,15,2,0,26,0,"3,639",65
COLRAIN.........................................................,"1,171",285,24,108,9,1,0,2,0,765,65
FREETOWN....................................................,"6,449","1,334",21,786,12,7,0,33,1,"4,213",65
RUTLAND.......................................,"6,260","1,092",17,992,16,4,0,25,0,"4,089",65
DANVERS.......................................................,"20,716","4,394",21,"2,499",12,15,0,75,0,"13,531",65
BARRE............................................................,"3,624",704,19,487,13,2,0,15,0,"2,365",65
PERU...............................................................,636,138,22,70,11,0,0,0,0,415,65
CHELMSFORD................................................,"24,540","5,432",22,"2,860",12,12,0,79,0,"16,002",65
SHIRLEY..........................................................,"4,005",812,20,518,13,2,0,19,0,"2,609",65
BERKLEY.........................................................,"4,666",895,19,645,14,1,0,22,0,"3,039",65
CHESHIRE......................................................,"2,361",557,24,244,10,0,0,8,0,"1,535",65
HANSON.........................................................,"7,439","1,363",18,"1,123",15,1,0,42,1,"4,832",65
CUMMINGTON................................................,642,170,26,48,7,0,0,4,1,417,65
HINSDALE.......................................................,"1,355",327,24,131,10,1,0,5,0,880,65
EAST BROOKFIELD.......................................,"1,537",274,18,233,15,1,0,9,1,998,65
WINCHENDON...............................................,"6,758","1,247",18,977,14,14,0,40,1,"4,386",65
WILMINGTON.................................................,"16,906","3,798",22,"2,045",12,2,0,57,0,"10,960",65
SPENCER.................................................,"7,710","1,575",20,"1,021",13,7,0,35,0,"4,995",65
HUNTINGTON.................................................,"1,510",291,19,210,14,2,0,8,1,978,65
ROCHESTER..................................................,"4,484",786,18,721,16,4,0,14,0,"2,904",65
NORTON.........................................................,"12,574","2,526",20,"1,697",13,6,0,43,0,"8,141",65
MENDON.........................................................,"4,392",749,17,723,16,3,0,25,1,"2,840",65
EAST BRIDGEWATER....................................,"10,038","1,943",19,"1,418",14,4,0,45,0,"6,490",65
WHITMAN.......................................................,"10,341","2,268",22,"1,207",12,7,0,55,1,"6,684",65
PLAINVILLE.....................................................,"6,424","1,261",20,924,14,6,0,18,0,"4,150",65
DOUGLAS.......................................................,"6,415",968,15,"1,193",19,5,0,30,0,"4,137",64
HUDSON.........................................................,"13,262","3,118",24,"1,399",11,12,0,72,1,"8,549",64
GRANVILLE.....................................................,"1,164",160,14,226,19,3,0,8,1,750,64
UXBRIDGE......................................................,"9,902","1,893",19,"1,422",14,6,0,53,1,"6,380",64
GROVELAND..................................................,"5,122",978,19,779,15,6,0,14,0,"3,299",64
PEMBROKE....................................................,"12,985","2,710",21,"1,831",14,1,0,27,0,"8,360",64
MILLBURY.......................................................,"9,468","2,161",23,"1,096",12,2,0,44,0,"6,095",64
NORTH ATTLEBOROUGH.............................,"19,861","3,729",19,"3,108",16,10,0,94,0,"12,783",64
MOUNT WASHINGTON..................................,129,37,29,9,7,0,0,0,0,83,64
SALISBURY.....................................................,"6,364","1,338",21,834,13,3,0,37,1,"4,093",64
LEICESTER.....................................................,"7,318","1,721",24,813,11,5,0,34,0,"4,706",64
OXFORD......................................,"9,083","1,889",21,"1,181",13,8,0,60,1,"5,837",64
NEW SALEM...................................................,749,181,24,80,11,3,0,3,0,481,64
PLAINFIELD....................................................,469,135,29,30,6,2,0,0,0,301,64
ASHBURNHAM...............................................,"4,335",855,20,609,14,4,0,26,1,"2,782",64
BELLINGHAM..................................................,"10,974","2,291",21,"1,451",13,6,0,56,1,"7,042",64
LITTLETON.....................................................,"7,150","1,647",23,861,12,2,0,24,0,"4,586",64
MATTAPOISETT..............................................,"5,237","1,105",21,721,14,3,0,11,0,"3,357",64
ACUSHNET.....................................................,"7,339","1,996",27,599,8,5,0,15,0,"4,704",64
ROCKLAND.....................................................,"12,044","2,875",24,"1,260",10,7,0,50,0,"7,716",64
