municipality,dem%,rep%,un%
Monroe,7,7,85
Savoy,15,5,77
New Braintree,15,12,72
Florida,17,10,72
New Ashford,19,8,72
Oakham,15,13,71
Ashby,13,15,71
Royalston,16,12,71
Phillipston,14,14,70
Gosnold,14,14,70
Warwick,21,7,70
Clarksburg,22,7,70
Bernardston,20,9,69
Hubbardston,15,15,69
Sutton,15,15,69
Plympton,17,13,69
Millville,17,13,69
Erving,21,9,69
Hawley,21,10,69
Rowe,20,11,68
Templeton,17,14,68
Athol,17,12,68
Montgomery,14,16,68
Westhampton,22,9,68
Boylston,17,13,68
Windsor,22,10,67
Wales,16,14,67
Orange,19,11,67
Townsend,15,16,67
Berlin,19,12,67
Middleborough,18,14,67
Hopedale,19,12,67
Brookfield,18,14,67
Holland,15,16,67
Seekonk,20,12,67
Carver,18,14,66
Lakeville,15,16,66
West Boylston,20,13,66
Merrimac,19,13,66
Rowley,17,16,66
North Brookfield,18,14,66
Charlemont,22,10,66
Rehoboth,15,17,66
Hardwick,19,13,66
Brimfield,15,17,66
Halifax,18,14,66
Warren,19,14,66
Tyngsborough,20,13,66
Westford,21,12,66
Charlton,17,16,66
Lancaster,17,15,66
Hancock,20,14,66
Westminster,17,15,65
Upton,18,15,65
Colrain,24,9,65
Freetown,21,12,65
Rutland,17,16,65
Danvers,21,12,65
Barre,19,13,65
Peru,22,11,65
Chelmsford,22,12,65
Shirley,20,13,65
Berkley,19,14,65
Cheshire,24,10,65
Hanson,18,15,65
Cummington,26,7,65
Hinsdale,24,10,65
East Brookfield,18,15,65
Winchendon,18,14,65
Wilmington,22,12,65
Spencer,20,13,65
Huntington,19,14,65
Rochester,18,16,65
Norton,20,13,65
Mendon,17,16,65
East Bridgewater,19,14,65
Whitman,22,12,65
Plainville,20,14,65
Douglas,15,19,64
Hudson,24,11,64
Granville,14,19,64
Uxbridge,19,14,64
Groveland,19,15,64
Pembroke,21,14,64
Millbury,23,12,64
North Attleborough,19,16,64
Mount Washington,29,7,64
Salisbury,21,13,64
Leicester,24,11,64
Oxford,21,13,64
New Salem,24,11,64
Plainfield,29,6,64
Ashburnham,20,14,64
Bellingham,21,13,64
Littleton,23,12,64
