,Score,RMSE
vr_bagging_lr_w_rfe_ridge,0.24131292985001096,0.06341816006061345
rfe_ridge_lr,0.2368909310876468,0.06360270754716481
gs_rfe_ridge_lr,0.22862135241911452,0.06394640043887498
plain_ridge,0.22099629888522287,0.06426167730227801
rfe_lr_lr,0.21911175946737882,0.06433936018731852
lr_scaler,0.21859654846299525,0.06436058145743673
plain_linreg,0.21859654846224486,0.06436058145746765
gs_on_ridge,0.20921888682507017,0.06474562693292309
bagging,0.15359534479323111,0.0669840369964855
RFR,0.13740517005245223,0.06762164350415961
gs_on_RFR,0.11768490658402153,0.06839024360914037
dummy,-0.005464464679645564,0.07300719445667664
lasso,-0.005464464679645564,0.07300719445667664
GradBoost,-0.25126471106226456,0.08144358732337462
GB_w_scaler,-0.25126471106226456,0.08144358732337462
