,RFR,RFR_op,bagging,bagging_op,gradboost,gradboost_op
Tip Fee as of 1/1/2020,0.194,0.201,0.207,0.248,0.194,0.172
Households Served by Municipal Recycling Program,0.162,0.148,0.159,0.201,0.162,0.192
PAYT/ SMART,0.188,0.198,0.213,0.196,0.188,0.212
What is the transfer station access fee?,0.051,0.051,0.038,0.069,0.051,0.105
What is the annual fee?,0.051,0.04,0.055,0.06,0.051,0.021
Recycling Collection Frequency_Weekly,0.014,0.016,0.005,0.027,0.014,0.025
Does trash disposal tonnage include bulky waste?,0.016,0.02,0.017,0.027,0.016,0.019
# Hours Enforcement Personnel on Street,0.013,0.011,0.013,0.027,0.013,0.016
Municipal Buildings Trash and Recycling Service_Both,0.022,0.015,0.028,0.026,0.022,0.037
Applies to Residential Generators not Eligible to be Served by the Municipal Program,0.015,0.016,0.009,0.025,0.015,0.01
Non-resident Trash and Recycling Service_Both,0.021,0.017,0.02,0.025,0.021,0.014
Maximum # bags/ barrels per week,0.023,0.017,0.022,0.024,0.023,0.03
School Trash and Recycling Service_Both,0.01,0.011,0.005,0.022,0.01,0.007
Recycle Bin Size Ranking,0.015,0.016,0.021,0.022,0.015,0.005
Business Trash and Recycling Service_Both,0.01,0.015,0.007,0.022,0.01,0.005
Solid Waste program funded by property tax?,0.008,0.014,0.008,0.021,0.008,0.003
Fee for bulky waste?,0.012,0.013,0.01,0.021,0.012,0.011
Solid Waste program funded by transfer station access fee?,0.014,0.01,0.002,0.02,0.014,0.0
Recycling Enforced by Muni,0.013,0.015,0.008,0.02,0.013,0.002
Applies to Residential Generators Eligible to be Served by Municipal Program,0.013,0.012,0.012,0.02,0.013,0.004
SS Recycling,0.01,0.011,0.007,0.019,0.01,0.005
Annual Bulky Waste Limit,0.012,0.016,0.01,0.019,0.012,0.012
Recycling Enforced by Hauler,0.021,0.013,0.052,0.017,0.021,0.022
Business Trash and Recycling Service_Recycling,0.01,0.013,0.005,0.017,0.01,0.012
Private Hauler regulations that require recycling,0.01,0.007,0.013,0.015,0.01,0.002
Recycling Collection Frequency_Bi-weekly,0.01,0.009,0.007,0.014,0.01,0.005
Recycling Service Type_Both,0.005,0.008,0.004,0.013,0.005,0.004
What is the per-visit fee?,0.004,0.006,0.001,0.013,0.004,0.012
Dedicated Mandatory Recycling Enforcement Personnel,0.01,0.01,0.003,0.013,0.01,0.002
Carts for Recycling,0.004,0.008,0.004,0.012,0.004,0.011
Applies to Commercial Generators,0.005,0.007,0.001,0.012,0.005,0.006
Trash Service Type_Both,0.008,0.008,0.007,0.011,0.008,0.002
Trash Service Type_Curbside,0.005,0.005,0.01,0.01,0.005,0.0
Recycling Service Type_Curbside,0.004,0.006,0.002,0.009,0.004,0.0
Carts for Trash,0.005,0.004,0.003,0.009,0.005,0.0
Trash Enforced by Hauler,0.001,0.004,0.002,0.006,0.001,0.012
Trash Enforced by Muni,0.003,0.002,0.004,0.006,0.003,0.002
School Trash and Recycling Service_Recycling,0.003,0.003,0.002,0.005,0.003,0.0
Municipal Buildings Trash and Recycling Service_Recycling,0.002,0.002,0.002,0.003,0.002,0.0
Dedicated Trash Enforcement Personnel,0.001,0.001,0.0,0.002,0.001,0.0
Non-resident Trash and Recycling Service_Trash,0.0,0.0,0.0,0.0,0.0,0.0
Non-resident Trash and Recycling Service_Recycling,0.001,0.0,0.0,0.0,0.001,0.0
Municipal Buildings Trash and Recycling Service_Trash,0.0,0.0,0.0,0.0,0.0,0.0
