,score_train,score_test,rmse,mae
GS_boosting,0.456235453529933,0.34027700046455256,0.05519389867184472,0.04502698759515579
boosting_op,0.456235453529933,0.34027700046455256,0.05519389867184472,0.04502698759515579
GradBoost,0.762934093354601,0.26490074855564016,0.05826171302931029,0.04567478486163824
GS_RF_MSE,0.5746280499533356,0.25983327776226517,0.05846218423096693,0.04495191306755935
rfr_op,0.5746280499533356,0.25983327776226517,0.05846218423096693,0.04495191306755935
GS_RF_MAE2,0.5655537298938785,0.25686146266538135,0.058579431300241076,0.0451531910025451
GS_bagging,0.5729935531380148,0.25308629360067914,0.058728035563112437,0.045122103062472226
bagging_op,0.5729935531380148,0.25308629360067914,0.058728035563112437,0.045122103062472226
GS_RF_MAE,0.5759583349567587,0.2417812518246124,0.05917081060792956,0.045210384680027305
GS_RF_MSE2,0.5016515279049855,0.20624493598914506,0.060541546978410056,0.04632734721503299
RFR,0.8771988461836587,0.11216727802258497,0.06402886938484802,0.04834765698885729
bagging,0.8186544121542059,0.10361502752872598,0.06433651660888076,0.048127789536769446
dummy,0.0,-0.05338700698421417,0.06974358028552385,0.05682520494474013
