municipality,population_25_and_older,edu_high_school_and_higher_%,edu_bachelors_and_higher_%
Weymouth ,41855,93.8,39.2
Winthrop ,14263,95.5,38.3
Belchertown ,2017,93.2,40.5
Needham ,20559,97.8,76.0
Quincy ,73038,88.2,45.1
Abington ,11793,94.7,39.1
Kingston ,4261,97.3,39.7
Mattapoisett Center ,2482,98.4,50.0
South Duxbury ,2390,98.7,78.0
Wareham Center ,2118,89.7,17.8
Cambridge ,79240,95.5,79.0
Pinehurst ,5229,91.8,33.0
Bourne ,1145,100.0,53.0
West Wareham ,1776,83.0,13.9
Adams ,4130,89.3,22.9
Great Barrington ,1677,90.5,44.1
Ipswich ,3424,95.3,47.1
Lawrence ,49650,67.0,10.8
Nahant ,2772,97.0,57.2
Milford ,17913,86.9,34.3
South Lancaster ,1352,86.6,47.5
Whitinsville ,4745,94.2,31.5
Winchendon ,2884,91.1,25.3
Sturbridge ,1589,99.8,47.8
Danvers ,20248,93.7,43.2
Essex ,1046,98.3,58.1
Rowley ,1216,100.0,45.3
Salisbury ,4149,95.1,42.6
Baldwinville ,1278,90.3,22.4
Clinton ,4957,86.7,25.6
Cordaville ,1877,97.4,67.2
Fitchburg ,26208,85.1,21.0
Hopedale ,2472,94.9,40.3
Lunenburg ,1307,95.3,37.3
Spencer ,4365,87.5,9.6
Sharon ,3833,98.4,72.9
Walpole ,4322,93.2,46.9
Brockton ,62411,80.5,18.6
Marshfield ,3398,98.1,53.2
Weweantic ,1350,93.0,25.6
Brewster ,1434,100.0,54.0
East Dennis ,2180,98.9,50.0
East Harwich ,3754,96.7,44.8
East Sandwich ,2645,98.1,63.4
New Seabury ,651,100.0,63.7
Pocasset ,2335,97.4,41.6
Raynham Center ,3414,95.5,41.4
Somerset ,13739,90.9,27.5
Taunton ,39811,84.6,22.6
Northampton ,19416,93.8,60.1
Medfield ,4610,97.9,69.8
Milton ,17820,94.7,61.0
Hingham ,4160,98.4,76.9
North Plymouth ,2968,92.7,26.1
Sandwich ,2283,97.0,55.4
Buzzards Bay ,2556,95.1,36.2
Amherst Center ,3762,93.7,62.9
Monson Center ,1450,96.0,23.9
Acushnet Center ,2265,90.4,16.3
Norton Center ,964,95.2,49.3
Holbrook ,7909,93.5,28.2
Norwood ,21580,94.7,47.4
East Falmouth ,4913,88.6,33.1
Harwich Center ,1097,98.9,55.3
Monomoscoy Island ,100,91.0,31.0
Seabrook ,430,100.0,60.0
Seconsett Island ,40,100.0,22.5
West Chatham ,979,96.2,56.9
South Deerfield ,1482,95.2,50.1
Holland ,1068,93.6,25.6
Mansfield Center ,5751,95.8,49.5
Bellingham ,3242,94.9,35.2
Middleborough Center ,4981,93.4,25.2
Marlborough ,28395,92.0,39.0
White Island Shores ,1850,94.5,12.3
Arlington ,33360,96.6,70.9
Ayer ,2202,93.1,47.9
Belmont ,18054,97.0,75.4
Cochituate ,4831,97.4,76.4
Maynard ,7815,96.5,51.1
Newton ,58219,97.4,79.2
