municipality,KEY_population_25_and_older,edu_high_school_and_higher_%,edu_bachelors_and_higher_%,KEY_pop_16_+,unemployment_rate_%,median_household_income,mean_household_income,families_below_poverty_level_%,people_below_poverty_level_%,KEY_total_housing_units,occupancy_%,1-unit_detached_%,1-unit_attached_%,2-units_%,3-4_units_%,5-9_units_%,10-19_units_%,20+_units_%,mobile_home_%,boat_RV_van_%,owner-occupied_%,renter-occupied_%,KEY_total_population,males-to-100females,median_age,demo_white_%,demo_black_aa_%,demo_american_indian_%,demo_asian_%,demo_native_islander%,demo_other_Race_%,demo_hispanic_latino_%
Abington,11793,94.7,39.1,13727.0,4.3,99381.0,105390.0,2.5,4.1,6781.0,94.3,58.9,6.0,5.0,11.7,6.1,8.0,4.3,0.0,0.0,73.3,26.7,16436.0,97.7,42.2,93.2,3.0,0.3,4.9,0.0,1.4,2.6
Acushnet,2265,90.4,16.3,2651.0,6.7,81375.0,85990.0,6.9,8.1,1309.0,99.3,79.3,2.2,3.3999999999999995,11.1,1.5,0.6,0.8,1.1,0.0,78.8,21.2,3177.0,93.40000000000002,45.20000000000001,97.3,3.2999999999999994,3.1,0.9,0.0,1.8999999999999997,9.2
Agawam,21598,93.3,33.2,23942.0,3.5,68944.0,87473.0,4.3,7.9,12253.0,96.5,64.9,5.1,5.0,4.2,8.2,4.6,7.7,0.3,0.0,75.8,24.2,28696.0,95.3,46.4,95.6,2.8,0.7,2.8,0.0,0.4,5.4
Amesbury,12633,94.2,41.1,14452.0,3.6,82468.0,100890.0,3.6,6.3,7549.0,95.6,52.7,9.5,7.0,7.5,4.9,5.9,12.5,0.0,0.0,70.2,29.8,17434.0,95.1,43.9,98.1,1.5,0.6,2.0,0.0,0.1,2.5
Amherst,8643,94.66721045933124,65.34968182344095,30588.0,10.221668628220216,47949.197920753235,77223.09382764483,6.088472603635413,30.224231724859422,7287.0,86.9739124468231,34.71118430080966,4.756154796212433,10.5206257719226,10.696171263894605,12.624221215863868,13.20334842870866,13.459036640592839,0.0,0.0,38.27535336901331,61.72464663098669,32422.0,95.83788785392635,21.243893035593114,78.09636049595954,7.570242427981,1.196277219172167,15.605681327493675,0.7704737523903522,1.8437203133674664,7.582604404416754
Arlington,33360,96.6,70.9,36696.0,3.3,108389.0,138350.0,3.1,5.2,20207.0,94.3,38.4,5.6,25.0,7.2,3.0,4.8,15.9,0.1,0.0,58.0,42.0,45304.0,86.6,40.7,83.3,4.0,0.5,14.9,0.0,1.2,4.9
Athol,5918,87.9,17.0,6989.0,10.0,49653.0,62635.0,12.0,17.3,3870.0,86.7,61.0,3.0,12.3,9.0,6.0,4.7,3.7,0.2,0.0,63.4,36.6,8617.0,82.8,39.3,93.5,3.6,0.5,1.2,0.0,4.8,6.5
Ayer,2202,93.1,47.9,2313.0,3.7,74659.0,85379.0,2.9,10.3,1437.0,98.9,38.1,4.2,15.2,19.4,13.2,2.6,7.2,0.0,0.0,45.5,54.5,2910.0,92.3,43.2,92.2,6.9,3.0,2.7,0.0,0.0,7.4
Baldwinville,1278,90.3,22.4,1455.0,2.1,77768.0,73978.0,5.6,6.3,772.0,93.4,67.7,18.7,7.8,2.2,1.3,0.0,2.3,0.0,0.0,82.4,17.6,1736.0,108.4,48.3,93.6,0.0,0.0,2.4,0.0,4.0,10.0
Barnstable,33500,93.7,38.6,37686.0,4.4,72733.0,100447.0,5.7,7.9,26395.0,71.2,81.9,2.8,2.5,4.8,3.7,1.4,2.8,0.0,0.0,75.0,25.0,44406.0,94.9,48.3,91.4,6.7,0.8,1.2,0.2,1.6,5.9
Barre,820,97.6,34.5,918.0,3.8,50268.0,67892.0,0.0,2.7,555.0,92.6,65.6,0.0,19.1,1.8,13.5,0.0,0.0,0.0,0.0,74.5,25.5,986.0,98.8,55.8,100.0,0.0,0.0,0.0,0.0,0.0,0.0
Belchertown,2017,93.2,40.5,2328.0,4.4,78578.0,96836.0,3.7,9.3,1224.0,92.9,59.9,7.0,6.8,8.5,6.6,11.2,0.0,0.0,0.0,68.4,31.6,2874.0,99.0,42.0,92.9,1.5,0.0,9.2,0.0,0.0,5.2
Bellingham,3242,94.9,35.2,3627.0,8.8,87045.0,102300.0,2.8,3.6,2102.0,93.2,70.1,3.7,2.2,0.7,4.8,2.8,15.7,0.0,0.0,69.7,30.3,4383.0,84.1,46.5,94.1,2.4,0.0,2.5,0.0,3.3,3.3
Belmont,18054,97.0,75.4,20297.0,4.0,129380.0,178083.0,3.9,6.0,10236.0,95.9,47.9,6.7,29.7,8.3,1.1,1.0,5.4,0.0,0.0,64.5,35.5,26113.0,86.5,41.1,80.6,2.6,0.5,19.8,0.0,0.5,4.3
Beverly,28683,95.2,50.6,34999.0,3.4,80586.0,112540.0,6.0,9.3,17216.0,95.5,49.7,3.1,8.5,13.0,6.9,5.9,12.6,0.0,0.3,60.5,39.5,41885.0,87.1,40.4,94.5,3.7,0.4,2.8,0.3,1.1,5.1
Blandford,224,91.5,31.7,253.0,3.4,87500.0,98521.0,0.0,2.2,184.0,70.7,92.9,0.0,7.1,0.0,0.0,0.0,0.0,0.0,0.0,92.3,7.7,278.0,137.6,54.7,98.6,0.0,1.4,0.0,0.0,0.0,0.0
Bliss Corner,4134,83.1,32.3,4575.0,3.0,63958.0,82067.0,5.0,8.7,2266.0,98.9,69.8,1.2,12.7,7.6,6.9,0.5,1.3,0.0,0.0,67.2,32.8,5150.0,77.0,50.1,93.9,0.2,0.0,1.8,0.0,4.5,6.1
Boston,473775,87.2,49.7,586859.0,6.6,71115.0,107608.0,14.1,18.9,294418.0,91.5,11.9,6.3,13.4,24.2,11.0,7.7,25.3,0.1,0.0,35.0,65.0,684379.0,92.3,32.2,57.4,28.9,0.9,10.7,0.2,7.4,19.8
Bourne,1145,100.0,53.0,1189.0,4.7,51595.0,71079.0,4.5,7.2,1181.0,66.1,84.2,2.5,1.2,2.5,1.1,6.5,2.0,0.0,0.0,78.1,21.9,1408.0,71.7,63.2,100.0,0.0,0.0,0.0,0.0,0.0,1.0
Boxford,1668,98.5,61.0,1972.0,6.5,192417.0,237254.0,0.0,0.0,795.0,100.0,97.1,0.0,2.9,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,2585.0,99.0,46.7,96.5,2.7,2.7,3.9,0.0,0.0,1.5
Braintree,26343,93.8,43.4,29678.0,3.5,96522.0,117154.0,3.9,4.6,14607.0,96.0,61.2,4.6,5.5,5.2,5.8,6.7,11.0,0.0,0.0,73.0,27.0,37220.0,93.7,41.5,82.2,3.5,0.8,14.5,0.0,0.9,2.1
Brewster,1434,100.0,54.0,1531.0,4.4,53517.0,84459.0,7.3,8.3,2244.0,36.3,84.6,7.5,0.5,4.9,1.9,0.0,0.6,0.0,0.0,89.3,10.7,1637.0,88.2,63.4,95.7,4.3,0.0,3.3,0.0,0.0,0.3
Brockton,62411,80.5,18.6,74626.0,8.3,58469.0,77290.0,11.9,14.8,33861.0,94.0,47.4,2.9,12.3,16.0,5.7,6.0,9.4,0.2,0.1,55.0,45.0,95594.0,91.0,35.7,38.1,48.0,0.9,2.4,0.1,14.3,11.1
Brookline,40345,97.4,83.5,49161.0,2.8,117326.0,171664.0,6.3,12.3,25963.0,94.1,18.4,5.4,7.7,14.0,15.4,6.7,32.3,0.0,0.1,48.9,51.1,59180.0,88.9,33.7,76.3,4.7,1.0,20.8,0.2,2.6,6.8
Burlington,19843,95.7,56.9,22564.0,2.8,118721.0,139198.0,2.7,3.8,10674.0,93.7,65.2,4.1,0.7,0.7,6.0,7.1,15.8,0.3,0.0,73.6,26.4,27650.0,91.3,41.1,77.2,5.4,0.4,19.7,0.4,0.9,3.1
