municipality,KEY_total_population,males-to-100females,median_age,demo_white_%,demo_black_aa_%,demo_american_indian_%,demo_asian_%,demo_native_islander%,demo_other_Race_%,demo_hispanic_latino_%
Weymouth,56734,90.4,42.4,85.7,6.3,0.3,7.5,0.2,1.8,3.8
Winthrop,18542,88.3,44.9,95.0,3.7,0.2,1.3,0.0,1.9,9.5
Belchertown,2874,99.0,42.0,92.9,1.5,0.0,9.2,0.0,0.0,5.2
Needham,30970,92.2,43.5,87.4,3.4,0.3,10.6,0.0,0.7,3.2
Quincy,94207,94.5,39.7,62.7,5.8,0.4,31.4,0.3,1.4,3.1
Abington,16436,97.7,42.2,93.2,3.0,0.3,4.9,0.0,1.4,2.6
Kingston,6278,99.4,41.9,99.1,2.4,0.0,0.0,0.0,0.9,5.3
Mattapoisett Center,3354,88.7,52.1,98.3,0.0,0.5,0.0,0.0,1.7,2.9
South Duxbury,3629,101.2,45.7,97.7,0.0,0.3,1.7,0.0,0.3,0.9
Wareham Center,3205,82.0,37.1,85.6,13.4,6.9,0.0,0.0,5.2,4.4
Cambridge,116632,99.4,30.5,70.0,12.2,0.8,19.1,0.2,2.4,9.5
Pinehurst,7283,105.2,42.3,88.2,4.5,0.2,9.8,0.0,0.5,1.8
Bourne,1408,71.7,63.2,100.0,0.0,0.0,0.0,0.0,0.0,1.0
West Wareham,2259,84.9,56.5,87.1,5.9,0.0,1.6,1.6,7.6,4.5
Adams,5335,109.5,43.5,97.7,2.3,0.0,0.9,0.0,0.8,1.6
Great Barrington,2070,85.3,49.3,94.8,3.9,0.0,0.0,0.0,2.9,8.9
Ipswich,4699,84.6,44.4,93.3,4.2,0.3,3.4,0.0,0.9,3.6
Lawrence,79942,95.8,32.3,55.2,7.6,0.5,1.9,0.3,37.6,80.6
Nahant,3502,86.6,52.3,96.8,0.1,0.5,2.5,0.0,1.0,1.5
Milford,26084,97.5,38.2,83.0,2.9,0.7,2.9,0.0,13.2,15.5
South Lancaster,1630,98.3,56.6,92.6,1.1,0.0,7.2,0.0,0.0,13.6
Whitinsville,7220,80.0,36.3,91.4,5.8,1.9,6.8,0.8,1.7,5.7
Winchendon,3999,99.9,40.5,91.4,2.4,1.0,5.8,0.0,1.5,4.1
Sturbridge,2243,85.4,45.0,94.1,2.6,0.0,4.1,0.0,0.0,1.8
Danvers,27586,84.0,44.6,93.9,3.4,0.8,3.6,0.1,1.1,5.1
Essex,1393,89.3,47.3,100.0,0.0,0.0,0.0,0.0,0.0,0.0
Rowley,1629,86.8,50.7,95.0,0.0,0.0,4.7,0.0,0.9,3.1
Salisbury,5131,111.3,48.0,99.2,1.3,0.9,0.3,0.4,0.3,4.0
Baldwinville,1736,108.4,48.3,93.6,0.0,0.0,2.4,0.0,4.0,10.0
Clinton,7154,102.8,36.2,88.0,5.7,0.0,0.3,0.0,6.8,22.9
Cordaville,3039,88.6,39.7,83.9,1.0,0.3,17.6,0.0,0.0,0.4
Fitchburg,40702,99.7,35.5,84.4,7.4,1.4,2.9,0.4,8.6,28.8
Hopedale,3363,101.6,47.8,98.0,0.6,0.0,1.2,0.0,1.3,0.4
Lunenburg,1778,81.2,44.4,99.5,0.1,0.0,4.9,0.0,0.0,0.2
Spencer,5792,116.5,44.8,91.8,3.3,1.4,6.4,0.0,0.0,3.7
Sharon,5914,98.1,40.7,88.2,1.4,0.5,10.3,0.0,1.5,2.8
Walpole,6197,102.4,41.2,85.7,1.5,0.7,5.4,0.0,7.3,10.5
Brockton,95594,91.0,35.7,38.1,48.0,0.9,2.4,0.1,14.3,11.1
Marshfield,4928,92.2,41.5,98.7,0.2,0.1,0.7,0.0,1.8,3.5
Weweantic,1797,83.7,43.2,88.5,2.9,0.0,6.1,4.7,4.1,0.0
Brewster,1637,88.2,63.4,95.7,4.3,0.0,3.3,0.0,0.0,0.3
East Dennis,2575,73.9,65.7,91.6,1.3,3.3,1.2,0.0,2.6,2.8
East Harwich,4796,94.3,56.4,97.7,2.5,0.4,0.3,0.3,0.1,0.9
East Sandwich,3473,92.9,54.6,98.5,0.0,0.0,1.5,0.0,0.0,0.3
New Seabury,710,92.4,69.2,100.0,0.0,0.0,0.0,0.0,0.0,1.4
Pocasset,2893,104.2,60.0,99.1,0.3,0.0,0.0,0.0,0.6,0.9
Raynham Center,4923,78.5,36.8,95.9,3.3,0.0,2.0,0.0,0.5,1.3
Somerset,18165,98.2,47.1,98.8,0.5,0.1,0.4,0.0,0.8,0.9
Taunton,57124,91.3,39.6,83.5,11.1,0.7,2.3,0.2,6.5,9.0
Northampton,28516,72.3,40.0,92.3,3.5,1.1,5.3,0.3,2.2,8.7
Medfield,6966,96.9,43.5,93.0,1.7,0.5,6.1,0.0,0.0,1.2
Milton,27572,88.7,39.5,75.7,17.2,1.0,7.9,0.5,1.7,3.2
Hingham,6461,83.4,43.1,99.0,0.7,0.0,0.3,0.0,0.0,0.5
North Plymouth,4091,87.4,41.6,91.1,6.7,0.1,0.0,0.0,4.0,3.3
Sandwich,3002,89.0,51.7,98.3,0.0,0.0,1.7,0.0,0.0,6.9
Buzzards Bay,3528,119.1,47.0,97.2,2.9,0.5,2.2,0.0,0.6,2.9
Amherst Center,20409,91.0,20.4,79.9,6.2,1.2,15.2,0.5,1.5,7.2
Monson Center,1881,101.6,44.0,97.0,2.5,1.1,0.0,0.0,0.5,0.6
Acushnet Center,3177,93.4,45.2,97.3,3.3,3.1,0.9,0.0,1.9,9.2
Norton Center,2774,90.7,21.4,85.8,9.8,0.0,4.3,0.0,2.1,4.5
Holbrook,11045,87.9,44.2,76.5,19.2,0.9,4.5,0.0,3.2,6.6
Norwood,29306,89.1,40.8,85.7,8.0,0.6,5.8,0.1,1.5,6.8
East Falmouth,6441,89.8,53.3,94.1,5.3,1.3,1.5,0.0,2.3,2.0
Harwich Center,1406,67.2,49.9,85.1,15.2,0.0,0.0,0.0,0.0,1.2
Monomoscoy Island,100,100.0,60.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0
Seabrook,517,79.5,62.1,100.0,0.0,0.0,0.0,0.0,0.0,0.0
Seconsett Island,40,90.5,37.9,100.0,0.0,0.0,0.0,0.0,0.0,0.0
West Chatham,1154,87.9,61.6,98.7,1.3,2.2,0.0,0.0,0.0,0.0
South Deerfield,2041,99.1,43.8,99.3,1.1,0.3,1.4,1.1,0.0,3.0
Holland,1547,104.4,42.4,99.2,0.3,0.3,0.3,0.0,0.3,1.7
Mansfield Center,7905,96.7,39.6,93.7,2.2,0.8,6.0,0.0,0.3,6.6
Bellingham,4383,84.1,46.5,94.1,2.4,0.0,2.5,0.0,3.3,3.3
Middleborough Center,7343,101.7,35.0,95.9,3.5,1.0,0.0,0.0,1.7,3.0
Marlborough,39736,94.0,39.8,78.8,5.9,0.6,6.0,0.1,13.0,15.1
White Island Shores,2634,114.1,39.7,75.8,1.4,6.9,3.3,0.0,18.3,6.5
Arlington,45304,86.6,40.7,83.3,4.0,0.5,14.9,0.0,1.2,4.9
Ayer,2910,92.3,43.2,92.2,6.9,3.0,2.7,0.0,0.0,7.4
Belmont,26113,86.5,41.1,80.6,2.6,0.5,19.8,0.0,0.5,4.3
Cochituate,7226,110.9,42.7,88.5,0.7,0.2,13.3,0.0,0.6,5.9
Maynard,10754,95.2,41.7,93.8,2.2,0.4,1.9,0.0,3.4,3.4
Newton,88593,86.9,41.0,79.9,4.0,0.3,17.1,0.1,2.3,4.9
Stoneham,23223,100.3,43.8,91.2,3.5,0.3,5.0,0.1,1.1,3.3
West Concord,7394,120.6,41.9,80.8,10.9,1.3,4.6,0.0,7.0,15.0
Andover,8914,87.3,42.8,89.3,3.0,0.2,9.5,0.6,0.1,2.5
Haverhill,63533,93.4,36.8,83.7,6.3,0.7,2.2,0.4,11.2,23.2
Shelburne Falls,1806,88.7,52.7,90.4,2.9,0.0,7.7,0.0,0.0,0.9
Burlington,27650,91.3,41.1,77.2,5.4,0.4,19.7,0.4,0.9,3.1
Dennis,2307,93.9,65.9,97.2,0.0,2.2,0.8,0.0,2.0,0.3
Webster,11943,91.3,40.6,83.4,7.4,0.4,1.2,0.0,11.0,15.7
Newburyport,18077,83.6,48.9,95.7,3.0,0.1,2.5,0.1,0.3,2.8
Gardner,20610,106.6,41.0,90.9,5.4,1.2,3.7,0.0,3.1,9.3
North Brookfield,2466,78.1,36.9,97.8,2.0,0.0,1.6,0.0,0.0,2.1
Warren,510,78.9,42.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0
