municipality,KEY_total_population,males-to-100females,median_age,demo_white_%,demo_black_aa_%,demo_american_indian_%,demo_asian_%,demo_native_islander%,demo_other_Race_%,demo_hispanic_latino_%
Avon,4500,90.8,40.0,75.6,18.7,0.5,3.9,0.0,3.4,4.2
Boxborough,5561,102.1,43.2,79.6,1.3,1.3,19.2,0.0,1.7,5.1
Manchester,5383,100.9,48.9,99.3,0.0,0.0,1.4,0.0,0.0,1.5
Cohasset,8484,89.7,44.0,97.5,1.5,0.1,1.2,0.2,0.4,1.4
Billerica,32797,98.0,41.1,86.5,4.4,0.6,9.1,0.2,1.6,3.6
Dracut,31294,97.4,40.0,89.8,5.4,0.2,4.7,0.2,1.7,6.6
Merrimac,6890,98.4,47.7,97.4,0.2,0.0,1.7,0.0,1.3,2.4
Worthington,1263,87.4,51.6,99.1,0.3,0.2,0.0,0.0,1.0,0.8
Granville,2186,97.1,46.6,99.4,0.5,0.9,0.3,0.1,0.5,2.3
Freetown,4917,96.8,45.3,97.0,2.2,3.4,0.9,0.0,2.1,2.1
Oak Bluffs,4665,95.2,40.8,92.6,7.6,0.0,0.0,0.0,3.2,2.1
Westport,15793,99.3,48.5,99.2,0.4,0.4,0.5,0.1,0.5,1.7
Norwell,11054,94.8,42.2,96.9,0.3,0.1,2.5,0.3,0.9,2.3
Leverett,2001,101.7,47.5,96.9,0.3,0.6,3.1,0.0,0.4,1.2
Whitman,15056,98.0,38.0,95.1,3.5,0.4,0.9,0.0,2.7,2.5
Carlisle,5224,112.0,50.7,87.7,0.2,0.3,13.0,0.0,1.1,0.8
Warwick,792,100.5,54.8,98.7,0.3,1.4,1.3,0.0,0.5,2.0
Dudley,11723,93.9,38.4,93.1,2.4,0.5,5.0,0.2,1.2,3.6
Westminster,7766,100.6,44.3,99.8,0.0,0.0,0.5,0.0,0.0,3.3
East Longmeadow,16242,84.8,45.5,90.3,5.4,0.8,4.8,0.0,0.4,3.9
Monson,8824,97.7,47.3,97.7,1.3,0.9,0.9,0.0,0.4,1.3
Dunstable,3366,99.3,45.2,95.8,0.4,0.9,4.0,0.0,0.1,2.0
Heath,471,74.4,53.0,99.8,0.0,1.3,0.0,0.0,0.0,0.4
