municipality,KEY_pop_16_+,unemployment_rate_%,median_household_income,mean_household_income,families_below_poverty_level_%,people_below_poverty_level_%
Avon,3703,4.8,85200,93196,6.6,9.8
Boxborough,4535,4.6,115395,143993,4.6,4.5
Manchester,4314,3.4,148854,193406,1.9,3.3
Cohasset,6245,2.6,145679,224019,2.8,4.6
Billerica,27290,4.2,106141,117150,2.1,3.5
Dracut,25428,4.1,90000,102200,4.3,6.5
Merrimac,5737,2.7,84609,111519,1.0,3.4
Worthington,1097,1.2,80192,91776,3.4,6.2
Granville,1826,5.4,87750,96521,4.8,8.8
Freetown,3966,6.9,85139,110427,2.2,3.9
Oak Bluffs,3640,2.5,75294,87642,5.4,9.8
Westport,13555,3.5,80430,99546,4.5,5.6
Norwell,8464,3.4,157987,183481,1.5,3.0
Leverett,1636,3.2,90978,129319,3.2,6.5
Whitman,12194,3.7,86570,98929,3.5,6.2
Carlisle,4179,4.3,195889,251401,1.6,3.4
Warwick,674,2.0,59375,70168,2.8,7.0
Dudley,9672,6.2,69071,91824,2.2,5.6
Westminster,6237,4.6,100972,118373,1.0,2.6
East Longmeadow,13136,3.6,87748,109318,3.1,4.7
Monson,7432,5.0,83008,96929,4.7,6.2
Dunstable,2775,3.6,135909,161649,1.3,2.9
Heath,407,1.6,69375,82261,0.0,3.2
Windsor,692,3.8,85417,109999,3.9,6.3
Douglas,7139,3.7,99943,117784,2.2,3.5
Concord,14994,2.8,152240,205520,1.1,3.6
Dighton,3094,2.8,101216,114864,0.0,0.5
New Salem,784,4.9,65875,84928,2.1,5.4
Sudbury,14526,3.6,191310,235764,1.3,2.5
Holliston,11532,3.9,135340,166861,0.8,2.1
Paxton,4088,0.9,120469,137122,1.6,3.0
Chesterfield,500,3.6,67321,78846,2.6,7.4
Mansfield,19147,5.2,120613,144648,1.7,3.2
Fairhaven,13399,5.2,67394,85015,4.6,7.5
Natick,28133,3.0,115446,149874,1.7,2.9
Southwick,8039,4.2,73776,97222,6.6,7.7
Grafton,5784,3.4,109670,135447,1.8,4.4
Wellfleet,3096,3.0,75096,92526,1.1,10.1
Royalston,1167,2.8,76250,83290,3.3,7.8
Cummington,761,3.0,58438,67642,4.1,9.7
Sutton,7637,1.9,104710,130705,3.5,2.8
Plainville,7448,5.8,96066,111207,3.0,4.5
West Boylston,6656,3.1,90688,113380,5.3,9.3
Holden,12543,4.6,109529,130864,2.1,3.4
Lanesborough,2004,8.1,67625,80318,2.6,8.1
Harwich,7953,6.2,78689,87331,4.8,5.8
Ashby,2670,3.7,97958,108790,2.7,4.7
Montague,1855,1.7,81042,85700,3.2,7.5
Rochester,4232,5.1,103459,132136,2.2,3.4
Tewksbury,25712,3.6,102934,117548,2.9,5.1
Shrewsbury,29574,3.8,105014,130786,2.9,3.9
Rockland,14415,3.3,78011,95148,7.3,8.3
Colrain,1505,4.1,62500,78745,6.5,11.5
Bedford,10923,5.5,128354,165083,2.0,2.9
Charlemont,1177,5.0,64813,85230,5.3,10.3
Harvard,3663,5.4,162619,204829,1.5,2.3
Wendell,697,6.0,53750,73269,11.7,12.1
Lincoln,4065,4.0,140125,209819,7.5,6.3
Otis,710,5.3,85417,103559,1.2,4.2
South Hadley,15553,4.8,69346,91161,6.5,9.6
Goshen,433,2.0,68750,80215,0.7,7.9
Littleton,8091,4.5,123413,149990,3.3,4.8
Wenham,4516,2.2,128056,186444,0.4,2.1
Middleton,8126,5.1,125204,166633,2.3,2.8
Wayland,10851,1.4,185906,236931,2.3,2.9
Millis,6582,2.2,106164,120195,0.5,1.5
Shutesbury,1256,8.0,80625,90395,4.9,8.8
Tyngsborough,10346,4.3,113489,134415,3.4,4.7
Monterey,736,1.7,80417,127090,0.0,5.1
North Andover,24462,3.8,108070,149342,3.7,5.6
Wrentham,9418,4.5,126613,149015,1.3,3.8
Sterling,6621,3.3,121458,154804,1.1,2.8
Williamsburg,2110,2.3,82574,96934,4.3,7.8
Medway,10670,2.7,132823,156809,3.9,4.8
Buckland,108,8.7,60347,57239,23.5,15.0
