municipality,KEY_total_housing_units,occupancy_%,1-unit_detached_%,1-unit_attached_%,2-units_%,3-4_units_%,5-9_units_%,10-19_units_%,20+_units_%,mobile_home_%,boat_RV_van_%,owner-occupied_%,renter-occupied_%
Weymouth,24570,96.6,57.1,4.7,6.0,3.0,3.8,5.5,19.5,0.4,0.0,67.0,33.0
Winthrop,8367,93.6,32.7,2.5,26.9,13.6,4.7,4.7,14.8,0.0,0.0,55.9,44.1
Belchertown,1224,92.9,59.9,7.0,6.8,8.5,6.6,11.2,0.0,0.0,0.0,68.4,31.6
Needham,11309,95.5,76.4,5.4,3.8,1.6,2.2,1.6,8.9,0.0,0.0,83.9,16.1
Quincy,43736,94.2,33.0,4.8,12.8,11.2,5.5,5.0,27.5,0.1,0.1,46.2,53.8
Abington,6781,94.3,58.9,6.0,5.0,11.7,6.1,8.0,4.3,0.0,0.0,73.3,26.7
Kingston,2748,88.8,67.9,5.2,6.5,10.2,5.5,3.6,0.5,0.7,0.0,70.2,29.8
Mattapoisett Center,1819,76.5,84.9,0.7,6.9,5.8,0.0,0.0,1.7,0.0,0.0,71.6,28.4
South Duxbury,1414,89.8,93.4,5.1,0.0,0.8,0.6,0.0,0.0,0.0,0.0,91.8,8.2
Wareham Center,1978,66.0,73.0,7.0,1.8,4.6,7.9,0.0,5.0,0.7,0.0,42.2,57.8
Cambridge,51882,90.3,8.7,5.8,12.6,17.2,10.6,7.5,37.6,0.1,0.0,34.8,65.2
Pinehurst,2536,96.0,89.8,3.3,6.2,0.0,0.4,0.4,0.0,0.0,0.0,92.9,7.1
Bourne,1181,66.1,84.2,2.5,1.2,2.5,1.1,6.5,2.0,0.0,0.0,78.1,21.9
West Wareham,1071,100.0,42.4,1.1,4.3,3.0,7.0,0.0,0.0,42.2,0.0,88.6,11.4
Adams,3086,85.2,45.7,2.4,18.0,12.2,9.6,3.3,8.6,0.3,0.0,54.0,46.0
Great Barrington,1274,82.8,40.4,1.1,16.7,4.8,19.2,9.2,7.7,0.9,0.0,53.5,46.5
Ipswich,2225,94.9,37.8,10.7,14.0,22.4,10.9,2.6,0.4,1.2,0.0,57.1,42.9
Lawrence,27681,93.8,20.1,7.3,14.7,30.4,7.8,5.0,14.5,0.1,0.1,31.0,69.0
Nahant,1724,92.9,69.5,1.2,11.2,3.9,6.8,3.8,3.6,0.0,0.0,70.5,29.5
Milford,10489,95.2,53.9,11.2,10.8,8.3,4.7,6.7,4.1,0.4,0.0,66.4,33.6
South Lancaster,895,85.4,53.9,1.6,11.3,13.4,18.3,0.0,1.6,0.0,0.0,53.0,47.0
Whitinsville,2667,95.8,40.3,16.8,8.0,13.3,9.9,3.3,8.5,0.0,0.0,51.6,48.4
Winchendon,1814,86.8,46.9,5.5,11.5,24.3,5.8,5.2,0.8,0.0,0.0,50.2,49.8
Sturbridge,919,95.5,72.0,0.0,6.6,5.4,0.0,10.2,1.2,4.5,0.0,83.9,16.1
Danvers,11128,96.1,57.9,5.9,6.9,5.1,7.9,3.7,11.6,1.0,0.1,71.3,28.7
Essex,675,89.0,64.0,9.9,19.9,6.2,0.0,0.0,0.0,0.0,0.0,86.0,14.0
Rowley,589,100.0,67.1,13.9,6.6,0.0,6.3,3.1,3.1,0.0,0.0,79.1,20.9
Salisbury,3532,67.2,45.2,10.2,11.2,11.5,8.2,3.1,6.9,3.8,0.0,74.7,25.3
Baldwinville,772,93.4,67.7,18.7,7.8,2.2,1.3,0.0,2.3,0.0,0.0,82.4,17.6
Clinton,3267,88.6,32.8,6.1,18.2,22.3,9.5,3.1,7.3,0.9,0.0,44.8,55.2
Cordaville,971,100.0,97.3,1.8,0.9,0.0,0.0,0.0,0.0,0.0,0.0,93.0,7.0
Fitchburg,16575,90.3,42.4,6.1,13.9,17.9,6.0,2.7,10.1,0.8,0.0,53.5,46.5
Hopedale,1413,93.3,52.1,22.3,14.2,5.2,3.8,0.0,2.5,0.0,0.0,76.0,24.0
Lunenburg,741,92.3,90.1,2.4,1.3,6.1,0.0,0.0,0.0,0.0,0.0,95.6,4.4
Spencer,2871,86.4,37.4,0.7,20.5,23.1,13.1,0.6,3.8,0.8,0.0,49.3,50.7
Sharon,2195,94.4,85.2,2.4,5.7,2.6,0.9,0.8,2.4,0.0,0.0,88.9,11.1
Walpole,2666,96.8,52.8,17.0,6.9,2.9,12.0,7.4,1.1,0.0,0.0,72.5,27.5
Brockton,33861,94.0,47.4,2.9,12.3,16.0,5.7,6.0,9.4,0.2,0.1,55.0,45.0
Marshfield,1996,95.8,69.8,4.0,0.4,7.0,10.5,6.7,1.7,0.0,0.0,67.3,32.7
