municipality,KEY_total_housing_units,occupancy_%,1-unit_detached_%,1-unit_attached_%,2-units_%,3-4_units_%,5-9_units_%,10-19_units_%,20+_units_%,mobile_home_%,boat_RV_van_%,owner-occupied_%,renter-occupied_%
Avon,1787,88.1,73.0,6.4,8.4,5.1,3.0,2.1,0.5,0.8,0.6,73.9,26.1
Boxborough,2371,95.6,52.4,6.2,1.3,2.7,9.9,16.3,11.3,0.0,0.0,68.8,31.2
Manchester,2294,90.5,69.4,1.6,8.0,10.1,9.0,0.8,1.2,0.0,0.0,76.2,23.8
Cohasset,3505,88.1,80.7,4.3,1.8,4.5,5.8,1.7,1.4,0.0,0.0,77.5,22.5
Billerica,11877,97.3,75.1,3.2,3.5,1.2,1.6,3.5,11.9,0.0,0.0,79.0,21.0
Dracut,11810,97.1,67.4,5.2,4.4,3.8,6.8,4.7,7.7,0.0,0.0,78.7,21.3
Merrimac,2784,97.3,66.9,6.3,8.9,5.0,1.7,1.5,0.3,9.4,0.0,87.1,12.9
Worthington,671,87.0,92.8,0.0,1.2,4.2,0.0,0.0,1.2,0.6,0.0,87.7,12.3
Granville,1242,68.8,98.2,0.2,1.6,0.0,0.0,0.0,0.0,0.0,0.0,92.6,7.4
Freetown,1929,90.0,91.0,2.7,4.1,1.4,0.0,0.0,0.3,0.4,0.0,89.4,10.6
Oak Bluffs,4571,38.3,84.2,2.5,5.6,1.2,2.8,1.8,1.4,0.6,0.0,74.2,25.8
Westport,7233,88.3,85.3,3.6,5.6,0.8,2.2,0.0,1.7,0.6,0.2,83.2,16.8
Norwell,3869,94.8,93.0,0.7,0.3,1.7,0.2,1.9,1.2,1.0,0.0,93.5,6.5
Leverett,794,96.5,86.3,2.4,8.2,0.8,0.8,0.0,0.0,1.6,0.0,88.6,11.4
Whitman,5686,96.1,60.5,5.5,12.2,9.1,2.7,0.7,9.0,0.3,0.0,70.5,29.5
Carlisle,2029,92.5,92.1,3.4,0.6,0.5,0.6,0.0,2.9,0.0,0.0,94.6,5.4
Warwick,482,71.6,91.1,0.4,0.0,4.8,1.0,0.0,0.0,2.7,0.0,93.3,6.7
Dudley,4173,93.6,67.2,2.9,7.5,11.8,7.5,1.6,1.5,0.0,0.0,67.8,32.2
Westminster,3080,93.2,91.4,1.8,0.7,3.8,0.6,1.8,0.0,0.0,0.0,90.9,9.1
East Longmeadow,6251,95.3,87.1,0.8,2.0,1.5,2.1,1.5,5.1,0.0,0.0,82.6,17.4
Monson,3724,94.7,81.1,1.6,5.8,4.3,3.0,0.9,0.3,3.1,0.0,82.4,17.6
Dunstable,1192,98.8,99.1,0.0,0.4,0.5,0.0,0.0,0.0,0.0,0.0,94.8,5.2
Heath,355,51.5,79.2,0.0,0.3,0.0,0.0,0.0,0.0,20.6,0.0,97.8,2.2
Windsor,489,70.1,96.7,0.6,2.7,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0
Douglas,3452,93.7,79.5,2.8,4.1,1.9,3.6,3.0,3.4,1.9,0.0,80.8,19.2
Concord,7104,93.4,66.5,6.4,2.5,4.6,5.8,1.4,12.8,0.0,0.0,75.0,25.0
Dighton,1529,93.7,79.7,0.0,15.7,2.3,0.0,0.0,0.0,2.3,0.0,89.9,10.1
New Salem,448,88.8,98.4,0.0,0.7,0.0,0.0,0.0,0.0,0.9,0.0,87.2,12.8
Sudbury,6494,98.3,87.9,5.7,0.8,1.6,0.6,0.7,2.6,0.0,0.0,91.6,8.4
Holliston,5376,98.0,83.7,3.9,2.4,3.4,0.9,1.3,4.3,0.0,0.0,91.4,8.6
Paxton,1589,94.3,93.5,2.2,2.6,0.0,0.0,0.0,1.6,0.0,0.0,95.4,4.6
Chesterfield,353,77.1,89.0,3.1,4.5,0.0,0.8,1.1,0.0,1.4,0.0,87.9,12.1
Mansfield,9012,96.0,63.6,3.8,6.7,3.6,4.5,7.8,9.9,0.1,0.0,72.5,27.5
Fairhaven,7181,89.0,72.4,3.9,10.4,5.2,1.9,0.7,5.4,0.0,0.0,75.6,24.4
Natick,15162,95.2,57.9,4.2,7.3,3.4,7.6,7.8,11.3,0.4,0.0,68.9,31.1
Southwick,4059,93.7,80.4,6.2,3.7,2.0,0.8,4.4,2.5,0.0,0.0,81.3,18.7
Grafton,2526,99.1,69.8,9.5,1.9,4.1,8.1,3.3,3.3,0.0,0.0,79.4,20.6
Wellfleet,4347,35.3,92.8,0.9,1.2,1.5,0.3,0.0,0.3,3.0,0.0,84.9,15.1
Royalston,680,85.4,89.3,0.4,6.5,0.0,0.7,0.0,0.0,3.1,0.0,81.9,18.1
Cummington,525,85.3,87.2,0.0,4.0,5.5,2.5,0.0,0.0,0.8,0.0,78.1,21.9
Sutton,3584,95.3,87.1,5.6,2.3,2.5,1.6,0.9,0.0,0.0,0.0,90.1,9.9
Plainville,3878,94.5,49.3,9.8,7.1,3.1,7.4,7.9,3.7,11.7,0.0,71.2,28.8
West Boylston,2459,93.5,71.9,10.9,6.8,3.8,2.6,2.7,1.0,0.0,0.3,83.0,17.0
Holden,5928,97.6,85.5,4.3,1.2,1.7,1.4,4.0,1.7,0.0,0.1,89.2,10.8
Lanesborough,1558,66.5,69.0,1.8,6.0,1.9,9.3,3.6,6.9,1.4,0.0,83.0,17.0
Harwich,6457,61.2,92.8,2.0,1.7,0.7,1.7,0.3,0.7,0.1,0.0,83.2,16.8
Ashby,1246,93.7,95.4,0.5,2.5,0.9,0.2,0.0,0.0,0.5,0.0,92.3,7.7
Montague,1023,95.2,68.5,5.6,12.6,5.3,3.8,0.0,1.0,3.2,0.0,69.0,31.0
Rochester,1918,98.4,93.8,2.8,0.7,1.1,0.0,0.4,0.0,1.2,0.0,93.0,7.0
Tewksbury,12025,97.2,70.3,10.5,1.1,1.9,2.9,4.9,8.4,0.0,0.0,85.2,14.8
Shrewsbury,14664,92.3,65.7,5.8,4.1,2.0,3.4,8.3,10.0,0.7,0.0,73.6,26.4
Rockland,7474,93.1,51.1,12.1,6.7,4.9,6.7,2.9,8.3,7.4,0.0,75.0,25.0
Colrain,1026,73.7,82.1,1.2,3.9,1.3,0.0,0.0,0.0,11.6,0.0,83.1,16.9
Bedford,5508,96.4,63.1,11.5,4.1,2.4,3.0,4.6,11.2,0.0,0.0,73.9,26.1
Charlemont,717,76.3,83.8,3.2,4.0,6.8,0.0,0.0,0.0,2.1,0.0,85.7,14.3
Harvard,1669,97.3,90.0,3.2,2.1,1.6,0.0,0.0,3.1,0.0,0.0,94.5,5.5
Wendell,422,87.7,88.6,1.9,4.3,0.7,0.0,0.0,0.0,4.5,0.0,80.3,19.7
Lincoln,2266,95.7,65.1,10.5,0.4,8.3,4.2,0.6,11.0,0.0,0.0,74.8,25.2
Otis,609,66.7,94.9,1.0,1.1,0.8,0.0,0.0,0.0,2.1,0.0,92.4,7.6
South Hadley,6841,96.7,61.2,6.0,8.4,9.9,5.9,2.2,6.3,0.1,0.0,72.7,27.3
Goshen,414,56.5,88.9,0.0,5.8,0.7,3.6,0.0,0.0,1.0,0.0,90.6,9.4
Littleton,3836,95.3,85.6,1.8,0.7,1.6,1.1,0.5,3.9,4.6,0.0,88.3,11.7
Wenham,1454,97.5,79.0,5.9,2.2,2.5,7.3,2.5,0.0,0.5,0.0,90.0,10.0
Middleton,3153,95.1,65.4,17.8,1.0,1.6,3.3,0.0,10.0,0.8,0.0,88.4,11.6
Wayland,5204,93.2,82.2,8.5,2.4,1.1,0.2,1.4,3.0,1.2,0.0,91.5,8.5
Millis,3344,94.5,68.2,7.6,4.2,4.5,3.0,6.8,5.9,0.0,0.0,82.3,17.7
Shutesbury,778,81.0,92.9,2.1,2.7,1.3,0.5,0.0,0.5,0.0,0.0,90.3,9.7
Tyngsborough,4592,96.7,72.7,11.0,3.4,1.8,2.8,0.8,7.5,0.0,0.0,82.8,17.2
Monterey,880,45.1,94.9,0.7,1.9,0.6,1.9,0.0,0.0,0.0,0.0,86.4,13.6
North Andover,11756,94.5,53.0,10.6,6.3,5.3,5.4,8.7,10.5,0.2,0.0,71.4,28.6
Wrentham,4347,98.0,81.1,5.7,2.9,3.6,2.6,2.4,1.7,0.0,0.0,84.9,15.1
Sterling,2920,95.1,87.8,5.9,2.9,1.8,1.1,0.0,0.4,0.0,0.0,90.5,9.5
Williamsburg,1212,87.5,80.4,2.6,9.2,6.2,0.0,1.2,0.5,0.0,0.0,79.1,20.9
Medway,4946,95.7,81.6,3.3,4.5,3.5,3.5,0.2,3.5,0.0,0.0,89.9,10.1
Buckland,79,77.2,83.5,0.0,16.5,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0
Rowe,330,71.8,93.3,0.6,0.0,2.1,0.0,0.0,0.3,3.6,0.0,92.4,7.6
Pembroke,6799,96.5,80.9,5.5,3.8,0.6,3.4,2.2,3.1,0.5,0.0,84.8,15.2
Mashpee,10273,61.9,75.3,11.7,0.7,3.9,4.7,1.3,1.0,1.3,0.0,86.6,13.4
Becket,2086,51.2,97.4,0.8,0.4,0.2,0.0,0.0,0.0,1.3,0.0,92.4,7.6
Dalton,3220,95.9,67.5,0.6,15.4,8.9,1.6,2.9,1.9,1.2,0.0,75.8,24.2
