municipality,KEY_population_25_and_older,edu_high_school_and_higher_%,edu_bachelors_and_higher_%,KEY_pop_16_+,unemployment_rate_%,median_household_income,mean_household_income,families_below_poverty_level_%,people_below_poverty_level_%,KEY_total_housing_units,occupancy_%,1-unit_detached_%,1-unit_attached_%,2-units_%,3-4_units_%,5-9_units_%,10-19_units_%,20+_units_%,mobile_home_%,boat_RV_van_%,owner-occupied_%,renter-occupied_%,KEY_total_population,males-to-100females,median_age,demo_white_%,demo_black_aa_%,demo_american_indian_%,demo_asian_%,demo_native_islander%,demo_other_Race_%,demo_hispanic_latino_%,dem%,rep%,un%,total_waste/hh,km_label,km_trimmed_label,km_s_label,hc_label,hc_s_label,hc_n5_label,km_n4_label,km_n5_label
Sharon,3833.0,98.4,72.9,4443.0,4.5,144333.0,173768.0,0.0,2.0,2195.0,94.4,85.2,2.4,5.7,2.6,0.9,0.8,2.4,0.0,0.0,88.9,11.1,5914.0,98.1,40.7,88.2,1.4,0.5,10.3,0.0,1.5,2.8,32.0,7.0,60.0,1.16111939,5,4,3,2,3,0,2,4
Southbridge,11439.0,82.6,17.2,13614.0,8.8,51270.0,64448.0,16.7,20.7,7368.0,92.5,37.7,2.6,16.1,21.7,11.4,5.8,4.3,0.5,0.0,44.2,55.8,16887.0,95.5,39.3,86.2,5.3,1.6,0.5,0.1,10.9,32.9,31.0,10.0,57.0,0.93426446,0,2,2,0,0,4,0,0
Sandwich,2283.0,97.0,55.4,2757.0,4.4,93333.0,121219.0,0.7,7.2,1961.0,66.4,83.3,4.3,2.8,0.9,1.1,1.1,6.6,0.0,0.0,81.6,18.4,3002.0,89.0,51.7,98.3,0.0,0.0,1.7,0.0,0.0,6.9,20.0,18.0,61.0,0.94063745,2,0,0,0,2,2,0,1
Shirley,1583.0,98.3,15.6,1755.0,1.5,65507.0,75261.0,3.5,5.7,988.0,95.2,49.0,0.0,8.9,17.3,13.1,11.7,0.0,0.0,0.0,50.3,49.7,1861.0,109.8,58.1,97.0,2.1,1.3,4.7,0.0,0.0,0.0,20.0,13.0,65.0,0.660673226,0,2,1,0,0,4,0,0
Franklin,21806.0,97.3,55.7,26502.0,4.1,122607.0,148748.0,2.5,4.0,12192.0,97.9,66.6,9.8,4.8,4.3,2.9,4.0,7.6,0.0,0.0,80.7,19.3,33256.0,92.9,41.1,92.9,2.5,0.2,6.6,0.0,0.3,1.6,22.0,14.0,63.0,1.0952738990000002,5,0,3,2,0,0,2,1
East Brookfield,724.0,87.8,30.1,865.0,2.4,74821.0,80801.0,1.6,6.1,559.0,76.6,88.4,0.0,8.2,0.0,0.9,0.0,0.0,2.5,0.0,86.7,13.3,1037.0,115.6,35.5,97.3,0.0,0.9,0.0,0.0,1.8,3.3,18.0,15.0,65.0,0.678402556,0,2,0,0,2,4,0,0
Groton,812.0,87.9,45.3,1058.0,9.2,65303.0,139255.0,4.0,9.7,516.0,100.0,50.2,2.5,13.8,7.6,8.3,1.4,16.3,0.0,0.0,55.2,44.8,1345.0,111.1,41.3,90.9,1.9,9.2,8.4,0.0,0.0,2.1,22.0,14.0,63.0,0.76858106,2,2,4,0,2,4,0,0
Cheshire,367.0,94.0,37.6,488.0,4.1,79107.0,86974.0,0.0,0.0,299.0,72.2,57.9,0.0,7.4,4.0,0.0,0.0,0.0,30.8,0.0,76.4,23.6,539.0,100.4,51.8,100.0,0.0,1.5,0.0,0.0,0.0,0.0,24.0,10.0,65.0,0.827197605,0,2,0,0,2,2,0,0
Russell,386.0,97.2,20.7,446.0,7.0,49073.0,58851.0,11.1,8.9,256.0,96.5,66.8,0.0,7.4,6.3,5.5,0.0,0.0,14.1,0.0,85.0,15.0,526.0,76.5,45.3,95.8,8.2,1.0,0.0,0.0,0.0,10.8,16.0,20.0,62.0,0.821309524,0,2,1,0,3,4,0,0
Chatham,1297.0,97.5,65.8,1375.0,5.2,81630.0,124508.0,3.5,8.2,2159.0,38.9,82.8,3.6,3.2,4.1,2.2,3.1,1.0,0.0,0.0,78.8,21.2,1428.0,83.5,67.4,100.0,0.0,1.0,0.0,0.0,0.0,0.0,22.0,20.0,58.0,1.970291139,2,2,0,0,2,2,0,0
