Municipality Name,Solid Waste program funded by property tax?,Solid Waste program funded by transfer station access fee?,What is the annual fee?,What is the transfer station access fee?,What is the per-visit fee?,PAYT/ SMART,Municipal Buildings Trash and Recycling Service_Both,Municipal Buildings Trash and Recycling Service_Recycling,Municipal Buildings Trash and Recycling Service_Trash,School Trash and Recycling Service_Both,School Trash and Recycling Service_Recycling,Business Trash and Recycling Service_Recycling,Business Trash and Recycling Service_Both,Non-resident Trash and Recycling Service_Both,Non-resident Trash and Recycling Service_Recycling,Non-resident Trash and Recycling Service_Trash,Trash Service Type_Curbside,Trash Service Type_Both,Carts for Trash,Does trash disposal tonnage include bulky waste?,Fee for bulky waste?,Annual Bulky Waste Limit,Tip Fee as of 1/1/2020,Maximum # bags/ barrels per week,Trash Enforced by Muni,Trash Enforced by Hauler,Dedicated Trash Enforcement Personnel,Households Served by Municipal Recycling Program,Recycling Service Type_Curbside,Recycling Service Type_Both,SS Recycling,Carts for Recycling,Applies to Residential Generators Eligible to be Served by Municipal Program,Applies to Residential Generators not Eligible to be Served by the Municipal Program,Applies to Commercial Generators,Recycling Enforced by Muni,Recycling Enforced by Hauler,Dedicated Mandatory Recycling Enforcement Personnel,# Hours Enforcement Personnel on Street,Private Hauler regulations that require recycling,%recycle/hh,Recycling Collection Frequency_Bi-weekly,Recycling Collection Frequency_Weekly,Recycle Bin Size Ranking
Abington,1,0,0.0,0.0,0.0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,1,1,0.0,86.5,1.0,1,1,1,4486.0,1,0,1,1,1,0,0,1,1,1,20.0,1,0.2697325231675852,0,1,0.5
Acton,0,1,0.0,100.0,30.0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0.0,57.16,0.0,0,0,0,4335.0,0,0,0,0,1,1,1,1,0,0,0.0,0,0.3104374563282033,0,0,0.0
Acushnet,1,0,0.0,0.0,0.0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0.0,64.6,1.0,1,1,0,3591.0,0,1,1,1,1,0,0,1,1,0,0.0,1,0.21564798630835336,1,0,1.0
Adams,1,1,0.0,50.0,0.0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,110.0,0.0,0,0,0,664.0,0,0,0,0,1,0,1,1,1,0,0.0,1,0.5093768242848803,0,0,0.0
Agawam,1,0,0.0,0.0,0.0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,1,30.0,74.0,1.0,0,1,0,8879.0,1,0,1,1,1,0,0,0,0,0,0.0,0,0.24991150363421355,1,0,0.75
Amesbury,1,0,0.0,0.0,0.0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0.0,68.7,0.0,0,0,0,5767.0,1,0,1,1,1,0,0,0,0,0,0.0,0,0.2806419750018637,1,0,0.5
Amherst,0,1,0.0,100.0,0.0,1,1,0,0,1,0,0,1,1,0,0,0,0,0,1,1,0.0,83.0,0.0,0,0,0,1851.0,0,0,0,0,1,1,1,1,1,0,0.0,1,0.2500671232804595,0,0,0.0
Andover,1,0,0.0,0.0,0.0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0.0,72.5,0.0,0,0,0,8992.0,1,0,1,0,0,0,0,0,0,0,0.0,0,0.23163103822693695,1,0,1.0
Aquinnah,0,0,0.0,0.0,0.0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0,168.0,0.0,0,0,0,230.0,0,0,1,0,1,0,0,1,0,0,0.0,0,0.43373493975903615,0,0,0.0
Arlington,1,0,0.0,0.0,0.0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,1,52.0,67.84,3.0,1,1,0,20311.0,1,0,1,0,1,0,0,1,1,0,0.0,0,0.29107540752902544,0,1,1.0
