Municipality Name,Solid Waste program funded by property tax?,Solid Waste program funded by annual fee?,Solid Waste program funded by transfer station access fee?,Solid Waste program funded by per-visit fee?,Solid Waste program funded by PAYT/ SMART revenue?,What is the annual fee?,What is the transfer station access fee?,What is the per-visit fee?,PAYT/ SMART,Municipal Buildings Trash and Recycling Service,School Trash and Recycling Service,Business Trash and Recycling Service,Non-resident Trash and Recycling Service,Trash Service Type,Carts for Trash,Does trash disposal tonnage include bulky waste?,Fee for bulky waste?,Annual Bulky Waste Limit,Tip Fee as of 1/1/2020,Enforced Trash Limits at Curb,Maximum # bags/ barrels per week,Trash Enforced by Muni,Trash Enforced by Hauler,Dedicated Trash Enforcement Personnel,Households Served by Municipal Recycling Program,Recycling Service Type,Recycling Collection Frequency,SS Recycling,Carts for Recycling,Enforced Mandatory Recycling,Applies to Residential Generators Eligible to be Served by Municipal Program,Applies to Residential Generators not Eligible to be Served by the Municipal Program,Applies to Commercial Generators,Recycling Enforced by Muni,Recycling Enforced by Hauler,Dedicated Mandatory Recycling Enforcement Personnel,# Hours Enforcement Personnel on Street,Private Hauler regulations that require recycling,Applies to Haulers Serving Residential Generators Eligible to be Served by Municipal Program,Applies to Haulers Serving Residential Generators Not Eligible to be Served by Municipal Program,Applies to Commercial Generators.1,%recycle/hh,Recycle Bin Size Ranking
Abington,Yes,No,No,No,No,0.0,0.0,0.0,No,Both,Both,Neither,Neither,Curbside,Yes,Yes,Yes,0.0,86.5,Yes,1.0,Yes,Yes,Yes,4486.0,Curbside,Weekly,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,20.0,Yes,Yes,Yes,Yes,0.2697325231675852,0.5
Acton,No,No,Yes,Yes,Yes,0.0,100.0,30.0,Yes,Both,Neither,Neither,Both,Drop-off,No,Yes,Yes,0.0,57.16,No,0.0,No,No,No,4335.0,Drop-off,None,No,No,Yes,Yes,Yes,Yes,Yes,No,No,0.0,No,No,No,No,0.3104374563282033,0.0
Acushnet,Yes,No,No,No,No,0.0,0.0,0.0,No,Both,Both,Neither,Neither,Curbside,Yes,No,Yes,0.0,64.6,Yes,1.0,Yes,Yes,No,3591.0,Both,Bi-weekly,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,0.0,Yes,Yes,No,No,0.21564798630835336,1.0
Adams,Yes,No,Yes,No,Yes,0.0,50.0,0.0,Yes,Both,Neither,Recycling,Neither,Drop-off,No,No,Yes,0.0,110.0,No,0.0,No,No,No,664.0,Drop-off,None,No,No,Yes,Yes,No,Yes,Yes,Yes,No,0.0,Yes,Yes,No,Yes,0.5093768242848803,0.0
Agawam,Yes,No,No,No,No,0.0,0.0,0.0,No,Both,Both,Neither,Neither,Curbside,Yes,No,Yes,30.0,74.0,Yes,1.0,No,Yes,No,8879.0,Curbside,Bi-weekly,Yes,Yes,No,Yes,No,No,No,No,No,0.0,No,No,No,No,0.24991150363421355,0.75
Amesbury,Yes,No,No,No,No,0.0,0.0,0.0,No,Both,Both,Neither,Neither,Curbside,No,Yes,Yes,0.0,68.7,No,0.0,No,No,No,5767.0,Curbside,Bi-weekly,Yes,Yes,No,Yes,No,No,No,No,No,0.0,No,No,No,No,0.2806419750018637,0.5
Amherst,No,No,Yes,No,Yes,0.0,100.0,0.0,Yes,Both,Both,Both,Both,Drop-off,No,Yes,Yes,0.0,83.0,No,0.0,No,No,No,1851.0,Drop-off,None,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,0.0,Yes,Yes,Yes,Yes,0.2500671232804595,0.0
Andover,Yes,No,No,No,No,0.0,0.0,0.0,No,Both,Both,Neither,Neither,Curbside,No,Yes,No,0.0,72.5,No,0.0,No,No,No,8992.0,Curbside,Bi-weekly,Yes,No,No,No,No,No,No,No,No,0.0,No,No,No,No,0.23163103822693695,1.0
Aquinnah,No,No,No,No,Yes,0.0,0.0,0.0,Yes,Both,Neither,Neither,Both,Drop-off,No,No,No,0.0,168.0,No,0.0,No,No,No,230.0,Drop-off,None,Yes,No,Yes,Yes,No,No,Yes,No,No,0.0,No,No,No,No,0.43373493975903615,0.0
Arlington,Yes,No,No,No,Yes,0.0,0.0,0.0,No,Both,Both,Both,Neither,Curbside,No,Yes,Yes,52.0,67.84,Yes,3.0,Yes,Yes,No,20311.0,Curbside,Weekly,Yes,No,Yes,Yes,No,No,Yes,Yes,No,0.0,No,No,No,No,0.29107540752902544,1.0
Ashby,No,No,No,No,Yes,0.0,0.0,0.0,Yes,Both,Neither,Both,Neither,Drop-off,No,Yes,Yes,0.0,120.0,No,0.0,No,No,No,230.0,Drop-off,None,No,No,No,No,No,No,No,No,No,0.0,Yes,Yes,Yes,No,0.3542803112953669,0.0
Ashfield,No,Yes,No,No,Yes,40.0,0.0,0.0,Yes,Both,Recycling,Both,Both,Drop-off,No,No,Yes,0.0,88.0,No,0.0,No,No,No,424.0,Drop-off,None,No,No,Yes,Yes,Yes,Yes,Yes,No,No,0.0,No,No,No,No,0.3334672405547585,0.0
Ashland,Yes,Yes,No,No,Yes,146.0,0.0,0.0,Yes,Both,Both,Neither,Neither,Curbside,No,Yes,No,12.0,73.23,No,0.0,No,No,No,5941.0,Curbside,Weekly,Yes,Yes,No,No,No,No,No,No,No,0.0,No,No,No,No,0.3810518975482248,0.75
Athol,No,No,Yes,Yes,Yes,0.0,60.0,20.0,Yes,Recycling,Neither,Both,Both,Drop-off,No,No,Yes,0.0,90.0,No,0.0,No,No,No,1094.0,Drop-off,None,No,No,No,No,No,No,No,No,No,0.0,No,No,No,No,0.3862401254972268,0.0
Attleboro,No,Yes,No,No,No,202.68,0.0,0.0,Yes,Both,Both,Neither,Neither,Curbside,No,Yes,No,52.0,73.0,No,0.0,No,No,No,14213.0,Curbside,Weekly,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,19.0,No,No,No,No,0.2887368200544655,0.5
Auburn,No,Yes,No,No,No,241.0,0.0,0.0,No,Both,Both,Neither,Neither,Curbside,Yes,No,No,0.0,68.97,Yes,1.0,Yes,Yes,Yes,5134.0,Curbside,Bi-weekly,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,15.0,No,No,No,No,0.23653542242391976,1.0
Avon,Yes,No,No,No,No,0.0,0.0,0.0,No,Both,Both,Neither,Neither,Curbside,Yes,No,Yes,40.0,0.0,No,0.0,No,No,No,1445.0,Curbside,Bi-weekly,Yes,Yes,No,No,No,No,No,No,No,0.0,No,No,No,No,0.2238331035410432,1.0
Ayer,Yes,No,Yes,Yes,Yes,0.0,95.0,15.0,Yes,Both,Neither,Neither,Neither,Drop-off,No,Yes,Yes,0.0,92.5,No,0.0,No,No,No,1188.0,Drop-off,None,Yes,No,No,No,No,No,No,No,No,0.0,Yes,Yes,Yes,Yes,0.2970004917226685,0.0
Barnstable,No,Yes,No,Yes,No,250.0,0.0,20.0,No,Both,Neither,Neither,Neither,Drop-off,No,No,Yes,0.0,60.71,No,0.0,No,No,No,11800.0,Drop-off,None,No,No,No,No,No,No,No,No,No,0.0,No,No,No,No,0.15050655111737818,0.0
Barre,No,No,No,No,Yes,0.0,0.0,0.0,Yes,Recycling,Neither,Both,Neither,Drop-off,No,Yes,Yes,0.0,0.0,No,0.0,No,No,No,880.0,Drop-off,None,No,No,No,No,No,No,No,No,No,0.0,No,No,No,No,0.18481138119009347,0.0
Becket,Yes,No,Yes,No,Yes,0.0,50.0,0.0,Yes,Both,Neither,Both,Both,Drop-off,No,No,Yes,0.0,92.0,No,0.0,No,No,No,1779.0,Drop-off,None,No,No,Yes,Yes,No,Yes,Yes,No,No,0.0,No,No,No,No,0.1679056856614128,0.0
Bedford,Yes,No,No,No,Yes,0.0,0.0,0.0,No,Both,Both,Neither,Neither,Curbside,Yes,Yes,No,52.0,73.04,No,0.0,No,No,No,4508.0,Curbside,Weekly,Yes,Yes,No,No,No,No,No,No,No,0.0,No,No,No,No,0.2583130346116807,0.5
Belchertown,No,Yes,Yes,Yes,Yes,100.0,100.0,20.0,Yes,Both,Neither,Neither,Neither,Drop-off,No,Yes,Yes,0.0,77.5,No,0.0,No,No,No,1818.0,Drop-off,None,No,No,Yes,Yes,No,No,Yes,No,Yes,0.0,No,No,No,No,0.2674465510286406,0.0
Belmont,Yes,No,No,No,No,0.0,0.0,0.0,No,Both,Both,Neither,Neither,Curbside,Yes,Yes,No,52.0,69.54,Yes,1.0,Yes,Yes,No,9810.0,Curbside,Bi-weekly,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,0.0,No,No,No,No,0.3023595834176845,1.0
Berkley,Yes,Yes,No,No,No,40.0,0.0,0.0,Yes,Both,Neither,Neither,Neither,Drop-off,No,Yes,Yes,0.0,0.0,No,0.0,No,No,No,1067.0,Drop-off,None,No,No,Yes,Yes,No,No,Yes,No,Yes,0.0,No,No,No,No,0.3040705967511869,0.0
Berlin,Yes,Yes,No,No,No,135.0,0.0,0.0,No,Trash,Neither,Neither,Neither,Drop-off,No,Yes,Yes,0.0,94.0,No,0.0,No,No,No,860.0,Drop-off,None,No,No,Yes,Yes,No,No,Yes,No,No,0.0,No,No,No,No,0.22376009227220295,0.0
Bernardston,Yes,No,No,No,Yes,0.0,0.0,0.0,Yes,Both,Neither,Neither,Both,Drop-off,No,No,Yes,0.0,79.0,No,0.0,No,No,No,650.0,Drop-off,None,No,No,No,Yes,Yes,No,No,No,No,0.0,No,No,No,No,0.2813397129186603,0.0
Beverly,Yes,Yes,No,No,Yes,100.0,0.0,0.0,No,Both,Both,Both,Neither,Curbside,No,Yes,No,52.0,67.0,Yes,2.0,Yes,Yes,No,12625.0,Curbside,Weekly,No,No,No,Yes,No,No,No,No,No,0.0,No,No,No,No,0.2348786885245901,1.0
Billerica,Yes,No,No,No,No,0.0,0.0,0.0,No,Both,Both,Neither,Neither,Curbside,Yes,Yes,Yes,0.0,71.75,Yes,1.0,Yes,Yes,No,13567.0,Curbside,Weekly,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,0.0,No,No,No,No,0.24440052700922266,0.5
Blandford,Yes,Yes,No,No,No,85.0,0.0,0.0,No,Both,Neither,Both,Neither,Drop-off,No,Yes,Yes,0.0,0.0,No,0.0,No,No,No,300.0,Drop-off,None,No,No,Yes,Yes,No,No,Yes,Yes,Yes,7.0,No,No,No,No,0.6344222330570454,0.0
Bolton,Yes,No,No,No,Yes,0.0,0.0,0.0,Yes,Both,Both,Both,Neither,Drop-off,No,Yes,Yes,0.0,83.0,No,0.0,No,No,No,2130.0,Drop-off,None,No,No,No,No,No,No,No,No,No,0.0,No,No,No,No,0.2996639895099165,0.0
Boston,Yes,No,No,No,No,0.0,0.0,0.0,No,Both,Recycling,Neither,Neither,Curbside,No,Yes,No,0.0,92.0,No,0.0,No,No,No,260000.0,Curbside,Weekly,Yes,Yes,No,No,No,No,No,No,No,0.0,Yes,No,No,Yes,0.16454746117257274,0.5
Bourne,No,No,Yes,No,No,0.0,30.0,0.0,No,Both,Both,Recycling,Both,Both,Yes,No,Yes,0.0,0.0,Yes,1.0,No,No,No,8135.0,Both,Weekly,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,0.0,No,No,No,No,0.4364515320382419,1.0
Boxborough,Yes,No,Yes,No,No,0.0,150.0,0.0,No,Both,Neither,Neither,Neither,Drop-off,No,No,No,0.0,73.0,No,0.0,No,No,No,969.0,Drop-off,None,Yes,No,No,No,No,No,No,No,No,0.0,No,No,No,No,0.30241325819309994,0.0
Boxford,Yes,No,No,No,Yes,0.0,0.0,0.0,Yes,Both,Both,Recycling,Recycling,Curbside,No,No,Yes,0.0,80.0,No,0.0,No,No,No,2753.0,Both,Weekly,Yes,No,Yes,Yes,Yes,Yes,No,Yes,No,0.0,No,No,No,No,0.3388474360254709,1.0
Braintree,No,Yes,No,No,No,150.0,0.0,0.0,No,Both,Both,Neither,Neither,Both,Yes,Yes,No,104.0,24.0,Yes,1.0,Yes,Yes,Yes,10373.0,Both,Weekly,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,30.0,No,No,No,No,0.2233981094977959,0.5
Brewster,Yes,Yes,Yes,No,Yes,50.0,10.0,0.0,Yes,Both,Neither,Recycling,Both,Drop-off,No,No,Yes,0.0,67.88,No,0.0,No,No,No,3509.0,Drop-off,None,No,No,No,No,No,No,No,No,No,0.0,No,No,No,No,0.3398419172050384,0.0
Brockton,No,Yes,No,No,Yes,280.0,0.0,0.0,Yes,Both,Recycling,Neither,Neither,Curbside,Yes,Yes,Yes,52.0,0.0,No,0.0,No,No,No,26422.0,Both,Bi-weekly,Yes,Yes,No,No,No,No,No,No,No,0.0,No,No,No,No,0.2265608106020821,1.0
Brookfield,Yes,Yes,No,No,Yes,85.0,0.0,0.0,Yes,Both,Neither,Neither,Neither,Drop-off,No,Yes,Yes,0.0,78.5,No,0.0,No,No,No,580.0,Drop-off,None,Yes,No,Yes,Yes,No,No,Yes,Yes,No,0.0,No,No,No,No,0.20452212957023733,0.0
Brookline,No,No,No,No,Yes,0.0,0.0,0.0,Yes,Both,Both,Both,Neither,Curbside,Yes,Yes,No,0.0,78.0,No,0.0,No,No,No,13310.0,Curbside,Weekly,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,40.0,Yes,Yes,Yes,Yes,0.3591376400184134,0.75
Buckland,Yes,No,No,No,Yes,0.0,0.0,0.0,Yes,Both,Neither,Neither,Neither,Drop-off,No,No,No,0.0,79.0,No,0.0,No,No,No,620.0,Drop-off,None,No,No,No,Yes,Yes,No,No,No,No,0.0,No,No,No,No,0.3387952235621796,0.0
Burlington,Yes,No,No,No,No,0.0,0.0,0.0,No,Both,Both,Neither,Neither,Curbside,Yes,Yes,Yes,208.0,70.0,No,0.0,No,No,No,7023.0,Curbside,Weekly,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,0.0,No,No,No,No,0.28419595745564835,0.5
Cambridge,Yes,No,No,No,No,0.0,0.0,0.0,No,Both,Both,Recycling,Neither,Curbside,No,Yes,Yes,0.0,102.68,No,0.0,No,No,No,44700.0,Curbside,Weekly,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,60.0,Yes,Yes,Yes,Yes,0.3252236807006219,0.75
